Question ID,Exam,Questions,Option A,Option B,Option C,Option D,Answer,Explanation,Subject,Topic,Subtopic,Classification Status
Q000011,71ST BPSC,How many bronze medals were won by Bihar players in the 38<sup>th</sup> National Junior Athletics Championship 2025?,4,5,6,More than one of the above,,,Current Affairs,Sports,Kosi Mechi Link Project beneficiaries,CLASSIFIED
Q000012,71ST BPSC,Which districts in Bihar will benefit from the Kosi Mechi Link Project?,"Patna, Nalanda, Gaya, Siwan","Darbhanga, Muzaffarpur, Sitamarhi, Begusarai","Araria, Purnia, Kishanganj, Katihar",More than one of the above,"(C) (C) Araria, Purnia, Kishanganj, Katihar",,Geography,Rivers,Kosi Mechi Link Project,CLASSIFIED
Q000013,71ST BPSC,Which Indian languages are accorded the status of Classical Language?,Telugu,Marathi,Bengali,More than one of the above,(D) (D) More than one of the above,,Indian Polity,Constitution,Classical Languages,CLASSIFIED
Q000014,71ST BPSC,Which organisation recognized the Nagi bird sanctuary Site as an Important Bird and Biodiversity Area (IBA)?,UNESCO,World Wildlife Fund,Bird Life International,More than one of the above,(C) (C) Bird Life International,,Current Affairs,Science & Technology,Nagi Bird Sanctuary,CLASSIFIED
Q000015,71ST BPSC,Where was the National Panchayati Raj Day 2025 event organised?,Patna,Madhubani,Gaya,More than one of the above,(B) (B) Madhubani,,Current Affairs,National,Panchayati Raj Day 2025,CLASSIFIED
Q000016,71ST BPSC,What is the primary objective ofthe Lunar Trailblazer mission?,To detect and map water on the Moon's surface,To create a 3D model of the entire Moon,To test new lunar rovers,More than one of the above,(A) (A) To detect and map water on the Moon's surface,,Current Affairs,Science & Technology,Lunar Trailblazer Mission,CLASSIFIED
Q000017,71ST BPSC,Afrikaners indicate the people:,Of Indo-African descent in the U.S.,Indigenous tribal communities in Africa,The white minority groupin SouthAfrica,More than one of the above,(C) (C) The white minority groupin SouthAfrica,,Society,Miscellaneous,Afrikaners,CLASSIFIED
Q000018,71ST BPSC,What is the name of the 16<sup>th</sup>-century stepwell that the Archaeological Survey of India recently conserved in collaboration with the World Monuments Fund India?,Agrasen ki Baoli,Rajon ki Baoli,Chauki Bavdi,More than one of the above,(B) (B) Rajon ki Baoli,,Current Affairs,Art & Culture,Stepwell in Gujarat,CLASSIFIED
Q000019,71ST BPSC,"What is the name of the city mayor who proclaimed April 14, 2025, as Dr. B. R. Ambedkar Day in New York City?",Bill de Blasio,Eric Adams,Sadiq Khan,More than one of the above,(B) (B) Eric Adams,,Current Affairs,National,Mayor of New York City,CLASSIFIED
Q000020,71ST BPSC,What is the permanent slogan for the Eurovision Song Contest?,Music Unites Us,Together in Song,United by Music,More than one of the above,(C) (C) United by Music,,Current Affairs,Science & Technology,Eurovision Song Contest Slogan,CLASSIFIED
Q000021,71ST BPSC,What is true of the GSLV-F15 mission by ISRO?,It carried the NVS-02 satellite,It marked ISRO's 101<sup>st</sup> launch from Sriharikota,It marked ISRO's 100<sup>th</sup> launch from Sriharikota,More than one of the above,(D) (D) More than one of the above.,,Current Affairs,Mathematical & Symbol Operations,GSLV-F15 Mission,CLASSIFIED
Q000022,71ST BPSC,What is true of the 18<sup>th</sup> G20 Summit?,It was held in Rio de Janeiro,Its theme was: Building a Just World and a Sustainable Planet,The Rio de Janeiro Declaration emphasised the taxation of billionaires,None of the above,(D) (D) None of the above,,Current Affairs,International,18<sup>th</sup> G20 Summit,CLASSIFIED
Q000023,71ST BPSC,The UN climate conference held in Baku in 2024 concluded with an agreement that:,Aims to ban fossil fuels globally by 2030,Calls on developed countries to provide at least $500 billion annually to developing nations by 2030,Calls on developed countries to provide at least $300 billion annually to developing nations by 2035,More than one of the above,(C) (C) Calls on developed countries to provid at least $300 billion annually to developing nations by 2035,,Current Affairs,Climate Change,UN Climate Conference in Baku 2024,CLASSIFIED
Q000024,71ST BPSC,"Awarded the Nobel Prize in Literature in 2024, Han Kang's novel 'The Vegetarian' won which other prestigious award?",Pulitzer Prize,Pen America Literary Awards,International Booker Prize,More than one of the above,(C) (C) International Booker Prize,,Current Affairs,Nobel Prize,The Vegetarian Novel,CLASSIFIED
Q000025,71ST BPSC,Which glacier of Nepal among the following has been declared 'dead' in May 2025?,Khumbu Glacier,Yala Glacier,Imja Glacier,More than one of the above,(B) (B) Yala Glacier,,Current Affairs,Current Affairs,Glacier,CLASSIFIED
Q000026,71ST BPSC,"According to the UNDP Human Development Index (HDI) Report 2025, life expectancy in India increased from 58.6 years in 1990 to how many years in 2023?",72 Year,73 Year,74 Year,More than one of the above,(A) (A) 72 Year,,Current Affairs,Indian Economy,Human Development Index,CLASSIFIED
Q000027,71ST BPSC,In which city was the AI Action Summit held in February 2025?,Bengaluru,Paris,Rome,More than one of the above,(B) (B) Paris,,Current Affairs,Science & Technology,AI Action Summit,CLASSIFIED
Q000028,71ST BPSC,At the 96thAcademy Awards (2024). Emma Stone won the Oscar for Actress in a Leading Role for her performance in which film?,La La Land,Poor Things,The Favourite,More than one of the above,(B) (B) Poor Things,,Current Affairs,Film,Emma Stone - Academy Awards,CLASSIFIED
Q000029,71ST BPSC,"Which Gujarati film won the 70<sup>th</sup> National Film Award for Best Feature Film promoting national, social and environmental values?",Hellaro,Chhello Show,Kutch Express,More than one of the above,(C) (C) Kutch Express,,Current Affairs,Film,Gujarati Film - National Film Award,CLASSIFIED
Q000030,71ST BPSC,Which of the following individuals or organisations was a recipient of the Ramon Magsaysay Award 2024?,"Phuntsho, Karma",Rural Doctors Movement,Miyazaki Hayao,More than one of the above,(D) (D) More than one of the above,,Current Affairs,International,Ramon Magsaysay Award,CLASSIFIED
Q000031,71ST BPSC,"Phuntsho, Karma – Bhutan 2. Nguyen Thi Ngoc Phuong – Vietnam 3. Farwiza Farhan – Indonesia 4. Miyazaki Hayao – Japan 5. Rural Doctors Movement – Thailand Ramon Magsaysay Award Establishment – Year 1957 1. This award is given in memory of Ramon Magsaysay, the seventh president of the Philippines. 2. It was established to honor outstanding work in government service or social reform taking place in Asia 3. It is also known as Asia's Nobel Prize 4. The award is presented by the Ramon Magsaysay Award Foundation. 5. It is given to individuals and organizations who have made exceptional contributions to public service in various fields 31. Which of the following statements are true about Akashteer?",Akashteer is the core of the Indian Army's Air Defence (AAD) system,It seamlessly integrates India's larger C4ISR,It reflects a strategic shift from passive defence to proactive retaliation,More than one of the above,(D) (D) More than one of the above,,Current Affairs,Blood Relations,Family Relationship Puzzle,CLASSIFIED
Q000032,71ST BPSC,Which of the following defence platforms are part of India's growing indigenous military ecosystem supported by the Make in India initiative?,F-35 Lightning II,Main Battle Tank (MBT) Arjun,Advanced Towed Artillery Gun System (ATAGS),More than one of the above,(D) (D) More than one of the above,,General Mental Ability & CSAT,Coding-Decoding,Defence Platforms,CLASSIFIED
Q000033,71ST BPSC,Which day is observed as Holocaust Memorial Day?,January 15,January 27,February 10,More than one of the above,(B) (B) January 27th,,Current Affairs,Historical Events,Holocaust Memorial Day,CLASSIFIED
Q000034,71ST BPSC,What is the title of the book by Banu Mushtaq that won the 2025 International Booker Prize?,Light of the Heart,Heart Lamp,Soul Lantern,More than one of the above,(B) (B) Heart Lamp,,Current Affairs,Literature,Banu Mushtaq - International Booker Prize,CLASSIFIED
Q000035,71ST BPSC,"According to the Indus Waters Treaty, the three eastern rivers are allocated to India. Which ofthe following is not one of them?",Jhelum,Ravi,Sutlej,More than one of the above,(A) (A) Jhelum,,Geography,Rivers,Indus Waters Treaty Rivers,CLASSIFIED
Q000036,71ST BPSC,Which of the following statement/s is/are correct about Capability Poverty Measure (CPM) developed by the UNDP? 1. CPM includes child malnutrition as a proxy for lack of health and nourishment. 2. Female illiteracy is included to reflect deprivation in education and knowledge 3. It considers male illiteracy as a key indicator of capability poverty. 4. It includes lack of access to clean drinking water as an important indicator of capability poverty. Select the correct answer using the codes given below:,1 and 2,"1, 2 and 3",Only 1,More than one of the above,(A) (A) 1 and 2,,Indian Economy,Development,Capability Poverty Measure (CPM),CLASSIFIED
Q000037,71ST BPSC,"Percentage of children under five years of age who are underweight (child malnutrition) — an indicator of poor health and nutrition. (Statemen 1: True) 2. Percentage of adult women who are illiterate — reflects a lack of education and knowledge (Statement 2: True) 3. Percentage of births not attended by skilled health personnel — an indicator of unsafe motherhood. • Male illiteracy is not used as an indicator in this (Statement 3: Incorrect) • The unavailability of clean drinking water is part of the Human Poverty Index (HPI), not the Capability Poverty Measure (CPM). (Statement 4: Incorrect) 37. Which of the following is not among the top ten principal commodities of India's export during April-September 2024-25?",Petroleum products,Iron and steel,Basmati rice,More than one of the above,(C) (C) Basmati rice,,General Mental Ability & CSAT,Development,Human Development Index,CLASSIFIED
Q000038,71ST BPSC,According to India State of Forest Report 2023 (ISFR 2023):,The total forest and tree cover of the country is 15% of the geographical area of the country.,"Top three states having largest recorded forest area (RFA) are Jharkhand, Andaman & Nicobar and Manipur.",The maximum tree cover has been found in the State of Maharashtra followed by Rajasthan and Uttar Pradesh.,More than one of the above.,(C) (C) The maximum tree cover has been found in the State of Maharashtra followed by Rajasthan and Uttar Pradesh,,Current Affairs,Science & Technology,National Urban Innovation Stack (NUIS) Digital Blueprint,CLASSIFIED
Q000039,71ST BPSC,Which of the following countries had greater share than India in the global services export in 2023?,Russia,Ireland,Indonesia,More than one of the above,(B) (B) Ireland,,Current Affairs,Science & Technology,Global Services Export,CLASSIFIED
Q000040,71ST BPSC,Which of the following statement/s is/are NOT CORRECT about the U-WIN portal of Ministry of Health and Family welfare?,It providės QR-based e-vaccination certificates,It facilitates the creation of Ayushman Bharat Health Accounts (ABHA) for parents and children,The portal is accessible in 11 regional languages,None of the above,(D) (D) None of the above,,Current Affairs,Banking,U-WIN Portal,CLASSIFIED
Q000041,71ST BPSC,Which organization jointly developed the National Urban Innovation Stack (NUIS) Digital Blueprint with the Ministry of Housing and Urban Affairs (MoHUA)?,Ministry of Electronics and IT,National Institute of Urban Affairs (NIUA),NITI Aayog,More than one of the above,(B) (B) National Institute of Urban Affairs (NIUA),,Current Affairs,Science & Technology,National Urban Innovation Stack (NUIS) Digital Blueprint,CLASSIFIED
Q000042,71ST BPSC,Which state had the highest constructed road length under Bharatmala Pariyojana as of 31<sup>st</sup> October 2024?,Rajasthan,Uttar Pradesh,Maharashtra,More than one of the above,(A) (A) Rajasthan,,Current Affairs,Rivers,Bharatmala Pariyojana Road Length,CLASSIFIED
Q000043,71ST BPSC,"Before the launch of Kisan Rin Portal (KRP), farmers used to submit manual claims under the Interest Subvention and Prompt Repayment Incentive schemes to which ofthe following institution/s?",Ministry of Agriculture and Farmers Welfare and NABARD,Reserve Bank of India and NABARD,National Payments Corporation of India and Reserve Bank of India,More than one of the above,(B) (B) Reserve Bank of India and NABARD,,Indian Economy,Development,Kisan Rin Portal,CLASSIFIED
Q000044,71ST BPSC,India's foreign exchange reserves:,Increased to around USD 640 billion as of the end of December 2024,Are seventh largest in the world,Decreased caused by a BoP deficit of around USD 24 billion in 2024,More than one of the above.,(A) (A) Increased to around USD 640 billion as of the end of December 2024,,Current Affairs,Development,Foreign Exchange Reserves,CLASSIFIED
Q000045,71ST BPSC,"As per NFHS-5 data, which of the following state(s) recorded less than 6% of the population as multidimensionally poor in 2019-20?",Jammu and Kashmir,Himachal Pradesh,Uttar Pradesh,More than one of the above,(B) (B) Himachal Pradesh,,Indian Economy,Development,NFHS-5 Data,CLASSIFIED
Q000046,71ST BPSC,"Match List-I with List-I List-I List-II a) Perform, Achieve and Trade (PAT) Scheme 1. Introduced in the Union Budget for 2023-24 b) Mangrove Initiative 2 for Shoreline Habitats & Tangible Incomes (MISHTI) . Aims to reduce emissions in energy- intensive industries c) The Lifestyle for Environment (LiFE) initiative 3. Launched in 2019 as national-level strategy d) National Clean Air Programme (NCAP) 4. Launched at COP26 in Glasgow in November 2021 • PAT Scheme - The Perform, Achieve and Trade scheme is an energy efficiency initiative aimed at reducing energy consumption and emissions in energy-intensive industries. This scheme incentivizes industries for energy management and helps them set targets based on performance. • MISHTI - The Mangrove Initiative for Shoreline Habitats and Tangible Incomes was introduced in the 2023-24 Union Budget. This scheme is designed to protect residents in coastal and marine areas, improve their incomes, and conserve natural resources. • LiFE Initiative – The Lifestyle for Environment initiative was launched at COP26 in Glasgow in November 2021. Its aim is to encourage people to adopt environmentally friendly choices in their daily lives and mitigate the effects of climate change. • NCAP – The National Clean Air Programme was launched in 2019 as a national-level strategy. This scheme focuses on improving air quality, identifying sources of pollution, and assisting states and cities in reducing air pollution. 47. According to Annual PLFS 2023-24 report:",There is greater increase in Labour Force Participation Rate (LFPR) of rural females as compared to urban females since 2021-22,"Among the 36 states and union territories, 90% states have a Workforce Participation Rate (WPR) (for all ages) below the national average of43.7 percent",The share of female workers in agriculture has decreased significantly from 2017-18 to 2023-24,More than one of the above.,(A) (A) There is greater increase in Labour Force Participation Rate (LFPR) of rural females as compared to urban females since 2021-22,,Indian Economy,Development,PLFS 2023-24 Report,CLASSIFIED
Q000047,71ST BPSC,"Which of the following was NOT the outcome of Science, Technology and Innovation Policy 2020?",One Nation One Subscription,Research and Innovation Excellence Framework (RIEF),Atal Innovation Mission,More than one of the above,(C) (C) Atal Innovation Mission,,Current Affairs,Science & Technology,"Science, Technology and Innovation Policy 2020",CLASSIFIED
Q000048,71ST BPSC,"Share of Micro, Small and Medium Enterprises in the country's Gross Value Added (GVA) has increased from in 2020-21 to in 2022-23","30.3%, 35.6%","27.3%, 30.1%","35.1%, 38.2%",More than one of the above,"(B) (B) 27.3%, 30.1%",,Indian Economy,Development,GVA Share,CLASSIFIED
Q000049,71ST BPSC,"Which of the following statement/s is/are correct regarding the Indian cement industry? 1. Around 87% of India's cement industry is concentrated in a few major states like Rajasthan, Andhra Pradesh and Madhya Pradesh. 2. India is the largest producer of cement in the world. 3. Most cement plants in India are located far from raw material sources and near to the ports to support exports. Select the correct answer using the codes given below:",1,2,1 and 3,More than one of the above,(A) (A) 1,,Indian Economy,Banking,Bihar's cement industry concentration,CLASSIFIED
Q000050,71ST BPSC,What is the primary objective of Bihar's Mission Daksh?,To increase school enrolment in primary schools in rural areas.,To provide vocational training to teachers at senior-secondary level,To offer personalised mentoring for lagging students to reach grade-level competencies.,More than one of the above.,(C) (C) To offer personalised mentoring for lagging students to reach grade-level competencies.,,Current Affairs,Bihar Current Affairs,Mission Daksh,CLASSIFIED
Q000051,71ST BPSC,Which of the following is NOT one of the components under the YUVA framework of the Bihar Startup Policy 2022?,Vibrancy in the education system,Regulatory enablers for support,International market expansion schemes,More than one of the above,,,Indian Economy,Bihar Economy,YUVA framework components,CLASSIFIED
Q000052,71ST BPSC,Which of the following statement/s is/are correct about Bihar's economic performance in 2023-24?,Bihar's per capita GSDP at current prices increased by 12.8% in 2023- 24 over the previous year.,The estimated share of the tertiary sector in Bihar's GSVA (constant prices) in 2023-24 was 58.6%,The Gross Fixed Capital Formation (GFCF) formed 4.6% of GSDP at current prices in 2023- 24.,More than one of the above,,,Indian Economy,Development,Bihar's economic performance 2023-24,CLASSIFIED
Q000053,71ST BPSC,Consider the following statements: 1. The proportion of the young population (0-19 years) in Bihar is projected to decline significantly by 2041. 2. Bihar's demographic dividend is expected to peak around 2041 3. The elderly population (60+ years) in Bihar is expected to rise more sharply than in India. Select the correct answer using the codes given below:,1 and 2 are correct,1 and 3 are correct,2 and 3 are correct,More than one of the above,(A) (A) 1 and 2 are correct.,,Indian Economy,Demographic Change,Bihar's demographic trends 2041,CLASSIFIED
Q000054,71ST BPSC,"According to PLFS 2023-24, which of the following statements best describe the nature of employment among women in Bihar?","Most women are employed in formal, regular wage jobs.","The majority of women are self employed, often serving as helpers in household enterprises",Majority of women were engaged in secondary sector,More than one of the above.,(B) (B) The majority of women are self employed often serving as helpers in household enterprises,,Indian Economy,Labour Force,Women employment in Bihar (PLFS 2023-24),CLASSIFIED
Q000055,71ST BPSC,The power to recruit the Secretarial staf fof the House of the People is vested in:,Prime Minister's Office (PMO),Union Public Service Commission,Staf fSelection Commission,President after consultation with the Speaker of the House of the people,(D) (D) President after consultation with the Speaker of the House of the people,,Indian Polity,Union Government,Power to recruit Secretarial staff,CLASSIFIED
Q000056,71ST BPSC,Attorney General of India:,Is not entitled of audience except the Supreme Court,He gives advice to the President on legal matters,Cannot participate in the proceedings in the House of Parliament,Is a whole time counsel for the government,(B) (B) He gives advice to the President on legal matters,,Indian Polity,Attorney General,Attorney General of India,CLASSIFIED
Q000057,71ST BPSC,Consider the following subjects belonging to different lists of the constitution of India. Which of the following subjects belong to concurrent list? 1. Protection of wildlife 2. Income on Agriculture 3. Tax on Electricity consumption or sale 4. Price control Out of these :,1 and 4 are correct (B) 2 and 3 are correct,,Only 4 is correct (D) Only 2 is correct,,(A) (A) 1 and 4 are correct.,,Indian Polity,Constitution,Powers of the House of the People,CLASSIFIED
Q000058,71ST BPSC,Which of the following Directive Principles do not follow Gandhian Principles? 1. Organization of Village Panchayats 2. Common Civil Code 3. Promotion of cottage Industry in rural areas 4. Right to work Code :,1 and 2,Only 2,2 and 4,1 and 3,(C) (C) 2 and 4,,Indian Polity,Directive Principles,Non-Gandhian Directive Principles,CLASSIFIED
Q000059,71ST BPSC,Which pair is not correctly matched?,Allocation of seats in - 4th schedule the council of state,Forms of oath - 3rd schedule,Administration of - 6th schedule scheduled areas,Union List - 7th schedule,(C) (C) Administration of scheduled areas - 6th schedule,,Indian Economy,Economic Sectors,Incorrectly matched pairs,CLASSIFIED
Q000060,71ST BPSC,Consider the following statements about Central Government: 1. Ministries and Departments are formed by the Prime Minister with consultation of the Cabinet Secretary. 2. Every Minister is allocated Ministry by the President on the advice of the Prime Minister. Out of these:,Only 1 is correct,Only 2 is correct,1 and 2 are correct,Neither 1 nor 2 is correct,(B) (B) Only 2 is correct.,,Indian Polity,Union Government,Central Government structure,CLASSIFIED
Q000061,71ST BPSC,"The statement that ministries and departments are created by the Prime Minister in consultation with the Cabinet Secretary is incorrect; ministries and departments are created according to the Constitution or laws, and while the Prime Minister plays a key role, there is no provision for consulting only the Cabinet Secretary. 2. The statement that each minister is allocated a ministry by the President on the advice of the Prime Minister is correct; according to Article 75 of the Constitution, the President allocates ministries to each minister, but this is done on the advice of the Prime Minister. 62. What is true about the proceedings of the State Legislature?",Business in the legislature shall be transacted only in official language of the state or in Hindi or in English,Advocate General has right to vote,It can discuss the conduct of any judge of the High Court also,Validity of proceedings shall be called in question on the ground of any alleged irregularity,(A) (A) Business in the legislature shall be transacted only in official language of the state or in Hindi or in English,,Indian Polity,Constitution,Fundamental Rights,CLASSIFIED
Q000062,71ST BPSC,The constitution of India provides for (reasonable restrictions) on Fundamental Rights but reasonableness must keep in mind that: 1. The interest of the general public is safeguarded 2. Prevailing social value and also social needs are not bar 3. Directive principles can be bypassed 4. Collective good is not greater Out of these:,1 and 2 are correct (B) 2 and 3 are correct,,Only 4 is correct (D) Only 1 is correct,,,,Indian Polity,Constitution,Article 75,CLASSIFIED
Q000063,71ST BPSC,"The interests of the general public are protected (correct): Restrictions on fundamental rights are imposed in the interest of the general public, such as for public order, morality, or national security. 2. Existing social values and social needs should not be an obstacle (correct): Courts examine whether the prevailing social values and needs were taken into account when imposing restrictions. 3. The Directive Principles of State Policy can be ignored (False): Both Fundamental Rights and Directive Principles of State Policy (DPSP) must be considered harmoniously; the DPSP cannot be ignored. 4. The collective interest is not paramount (false): Often, the collective interest (community welfare) serves as the basis for restricting individual rights, which means that the collective interest can be given priority. 64. Who among the following determines the qualification which shall be requisite for appointment as member of the finance commission?",President of India,Council of Ministers,Parliament by act,Union Cabinet,(C) (C) Parliament by act,,Indian Polity,Constitution,Directive Principles of State Policy,CLASSIFIED
Q000064,71ST BPSC,Consider the following statements: 1. The summoning of the House means convocation 2. Prorogation ends a session 3. Dissolution terminates a House 4. Prorogation of a session can be effected by the leader of the House alone,2 and 3,1 and 3,Only 2,Only 4,(D) (D) Only 4,,Bihar Polity & Governance,Panchayati Raj,Purpose of Panchayati Raj,CLASSIFIED
Q000065,71ST BPSC,Who is empowered to review (Financial position of the Panchayats?,Chief Minister,Chairman of Block Committee,Chairman of District Counci,Finance Commission constituted by the Governor,,,Indian Economy,Development,Atmanirbhar Bharat Scheme,CLASSIFIED
Q000066,71ST BPSC,TheAtmanirbhar Bharat Scheme announced by the Govermment helps in: 1. Enhancing India's manufacturing capabilities and exports across the industries 2. Incentivizing foreign investments for domestic production Out of these:,1 is correct,2 is correct,Both 1 and 2 are correct,Neither 1 nor 2 is correct,(C) (C) Both 1 and 2 are correct.,,Indian Economy,Development,Enhancing Manufacturing Capabilities,CLASSIFIED
Q000067,71ST BPSC,What is the main purpose of Panchayati Raj?,To increase agriculture production,To increase employment,To increase people's political awareness,To enable people to participate in development administration,(D) (D) To enable people to participate in development administration,,Bihar Polity & Governance,Panchayati Raj,Main Purpose of Panchayati Raj,CLASSIFIED
Q000068,71ST BPSC,What is true about Censure Motion?,It is not different from No-confidence motion,It is different from the No-confidence motion,It is not mandatory to mention the reasons in this motion,Permission of the House is not essential to present it,,,Indian Polity,Constitution,Censure Motion,CLASSIFIED
Q000069,71ST BPSC,Which one of the following subjects fall within the jurisdiction of both High Court and Supreme Court?,Dispute between Centre and State.,Dispute among States,Protection of fundamental rights,Protection from the violation of the constitution,(C) (C) Protection of fundamental rights,,Indian Polity,Constitution,Jurisdiction of High Court and Supreme Court,CLASSIFIED
Q000070,71ST BPSC,Which Indian leader for the first time used the 'safety-valve theory' to attack the Moderates in the Congress?,Bipin Chandra Pal,Lala Lajpat Rai,Bal Gangadhar Tilak,Dadabhai Naoroji,(B) (B) Lala Lajpat Rai,,History of Bihar,Vaishali,Surendranath Banerjee,CLASSIFIED
Q000071,71ST BPSC,At which Viceroy was a bomb thrown on the occasion of his state entry into Delhi?,Lord Curzon,Lord Minto,Lord Hardinge,Lord Wavell,(C) (C) Lord Hardinge,,History of India,Mahatma Gandhi,Safety-Valve Theory,CLASSIFIED
Q000072,71ST BPSC,Who got an opportunity to become Professor of Indian Philosophy in the University of California in 1911?,Sohan Singh Bhakna,Virendranath Chattopadhyay,Har Dayal,Shyamji Krishna Varma,(C) (C) Har Dayal,,History of India,British Rule,Bomb thrown on Lord Curzon,CLASSIFIED
Q000073,71ST BPSC,"Name the Principal of M.A.O. College, Aligarh, who encouraged Muslim Communalism in the last decades of the 19th Century?",Dunlop Smith,Minto,William Morris,Theodore Beck,(D) (D) Theodore Beck,,History of India,Indian National Movement,Balwant Rai Mehta,CLASSIFIED
Q000074,71ST BPSC,"'The Young India, a Nationalist paper, was started by",Annie Besant,Mahatma Gandhi,Bal Gangadhar Tilak,Maulana Abul Kalam Azad,,,History of Bihar,Bihar's Role in 1857,Dadabhai Naoroji,CLASSIFIED
Q000075,71ST BPSC,Which Commission accentuated the discontent in all the political groups and parties for not associating any Indian member in it?,Welby Commission (B) Cripps Mission,,Simon Commission (D) Cabinet Mission,,,,History of India,Indian National Movement,Indian National Congress,CLASSIFIED
Q000076,71ST BPSC,"Who assumed the command of the Indian National Army and gave famous battle cry, 'Chalo Delhi'?",Rash Behari Bose,Mohan Singh,Shah Nawaz Khan,Subhas Chandra Bose,(D) (D) Subhas Chandra Bose,,History of India,Mahajanapadas,Subhas Chandra Bose,CLASSIFIED
Q000077,71ST BPSC,"""We shall either free India or die in the attempt ..."" who said it?",Jawaharlal Nehru,Mahatma Gandhi,Abul Kalam Azad,V.D. Savarkar,(B) (B) Mahatma Gandh,,History of India,Bharti Movement,Muhammad Shafi,CLASSIFIED
Q000078,71ST BPSC,"Who raised the cry ""Divide and Quit""?",M.A. Ansari,M.A. Jinnah,Jawaharlal Nehru,Muhammad Iqbal,(B) (B) M.A. Jinnah,,History of India,Indian National Movement,Muhammad Ali Jinnah,CLASSIFIED
Q000079,71ST BPSC,Which Act provided for the partition of India into two new dominions - India and Pakistan?,"Government of India Act, 1919","Government of India Act, 1935","Indian Independence Act, 1947",None of the above,"(C) (C) Indian Independence Act, 1947",,History of India,Constitutional Development,Partition of India Act 1947,CLASSIFIED
Q000080,71ST BPSC,Which Congress leader visited Bihar in 1918 in order to strengthen the activities of Home Rule League?,B.G. Tilak,Annie Besant,Mahatma Gandhi,M. A. Ansari,(B) (B) Annie Besant,,History of Bihar,Bihar's Role in 1857,Rajeshwari Dayal,CLASSIFIED
Q000081,71ST BPSC,Champaran Agrarian Committee was appointed in agreement between:,Indian Govermment and Gandhiji,Indian Government and Raj Kumar Shukla,Indian Government and Rajendra Prasad,Indian Government and Anugraha Narayan Singh,(A) (A) Indian Govermment and Gandhiji,,History of Bihar,Kisan Movement,Sridhar Swami,CLASSIFIED
