Question ID,Questions,Option A,Option B,Option C,Option D,Predicted Subject,Predicted Topic,Predicted Subtopic,Subject Correct (Y/N),Correct Subject (if N),Topic Correct (Y/N),Correct Topic (if N),Notes
Q002651,Which institute has been awarded the 2018 National Intellectual Property Award in the category ‘Top R & D Institution/Organization for Patents and Commercialization?,Council of Scientific and Industrial Research,Indian Space Research Organization,Bhabha Atomic Research Center,Defense Research and Development Organization,Indian Economy,Development,India’s rank in the 2018 World Press Freedom Index (WPFI),N,Current Affairs,N,Awards & Recognition,Topic/subtopic reference Press Freedom Index - unrelated
Q001316,In which House the presiding officer is not a member of that House?,Lok Sabha,Rajya Sabha,Legislative Assembly(D),,General Mental Ability & CSAT,Coding-Decoding,Substitution Cipher,N,Indian Polity,N,Union/State Legislature,"Presiding officer rule, not a coding/reasoning question"
Q002077,The chemical used for destroying fungi in water tank is :,Nitric acid,Zinc sulphate,Magnesium Sulphate,Copper Sulphate,Environment & Ecology,Bihar Environment,Fungicides,N,General Science,N,Chemistry,"Chemical fact (copper sulphate), not Bihar-specific environment"
Q001584,The country which has the longest north-south (latitudinal) extension of its territory is :,Russia,Chile,China,Brazil,Geography,Location and Boundaries,Country with longest north-south extension,Y,,Y,,
Q001176,The specifications required for a community to be declared as a Scheduled Tribe are 1. Indications of primitive traits 2. Distinctive Culture 3. Shyness of contact with the community at large. 4. Backwardness and geographical isolation. Which of the above is correct?,"Only 1, 3 and 4","Only 2, 3 and 4",Only 1 and 2,All of the above,Indian Polity,Constitutional Bodies,Scheduled Tribes,Y,,N,Fundamental Rights/Special Provisions,ST criteria isn't a 'Constitutional Body' topic
Q000459,Which movement was started as a reaction to the Partition of Bengal?,Non-Cooperation Movement,Civil disobedience movement,Swadeshi movement,Purna Swaraj Movement,History of India,Indian National Movement,Partition of Bengal Reaction,Y,,Y,,
Q001126,When were 'Gaurakshini' meetings established in many parts of Bihar during the British rule?,1864,1875,1957,1893,History of Bihar,Bihar's Role in 1857,Indigo Farmers' Protest,Y,,N,Socio-Religious Movements in Bihar,"Gaurakshini Sabhas (cow-protection movement), unrelated to 1857 or indigo farmers"
Q001606,Which of the following activities takes place in Coolgardie?,Coal mining,Copper mining,Gold mining,Forestry,Geography,District-wise Geography,Coolgardie,Y,,N,World Geography/Mining,"Coolgardie is in Australia, not an Indian district"
Q001511,Which of the following area in India does not grow tropical wet evergreen forests?,Eastern Ghats,Western Ghats,Andaman Islands,North-Eastern Region,Geography,Forests,Tropical Wet Evergreen Forests,Y,,Y,,
Q002445,Which of the following countries along with Senegal launched the International Drought Resilience alliance during COP27?,Spain,Italy,Germany,More than one of the above,Current Affairs,Science & Technology,Collins Dictionary’s word of the year,Y,,N,International Summits (COP),Topic/subtopic reference Collins Dictionary word of year - unrelated
Q002936,"In the following number series, what should come in place of question mark (?)? 132 156 ? 210 240 272",182,199,204,196,General Mental Ability & CSAT,Coding-Decoding,Odd One Out,Y,,N,Number Series,"This is a number series puzzle, not coding-decoding/odd-one-out"
Q002225,The source of the enzyme ‘lipase’ is :,Kidney,Pancreas,Liver,Heart,General Science,Chemistry,Lipase Enzyme Source,Y,,N,Biology,"Enzymes are Biology, not Chemistry"
Q001788,Which of the following is not a component of 'Bharat Nirman'?,Rural housing,Rural electrification,Agro-based industry,Rural telephony,Indian Polity,Governance,Bharat Nirman,N,Indian Economy,N,Government Schemes,"Bharat Nirman is an infrastructure/economy scheme, not a polity/governance topic"
Q001311,A High Court Judge addresses his resignation letter to-,President,Chief Justice of India,Chief Justice of the High Court of his state,Governor of the state,Indian Polity,Constitution,A High Court Judge addresses his resignation letter to,Y,,Y,,
Q000850,Which of the following is not included in the seven resolves (saat nischay) of Bihar Government?,Women Employment,Clean Drinking Water,Electricity supply to all households,Child welfare,Bihar Polity & Governance,Bihar Legislature,Satat Jivikoparjan Yojana,Y,,N,Bihar Government Schemes,"Saat Nischay is a schemes list, not a Bihar Legislature topic"
Q000995,Bharat Wagon and Engineering Co. Ltd. is located in the following places.?,Madhepura,Jamalpur,Harnaut,Mokama,Miscellaneous,Miscellaneous,Bharat Wagon and Engineering Co. Ltd.,N,Bihar Economy,N,Industries in Bihar,Company location fact fits Bihar industry better than generic Miscellaneous
Q002970,The difference between the squares of two numbers is 256000 and the sum of the numbers is 1000. The numbers are –,"600, 400","640, 360","628, 372","650, 350",Mathematics — Mains,Algebra,Sum and Product of Numbers,N,General Mental Ability & CSAT,N,Quantitative Aptitude (Algebra),"Pure arithmetic problem - dataset is Prelims, should route to GMA not Mathematics-Mains"
Q002232,The interaction between algae and fungi to form lichen is called :,Parasitism,Mutualism,Commensalism,Conversion,Environment & Ecology,Ecology,The interaction between algae and fungi to form lichen is called:,Y,,Y,,
Q002992,,There is no solution for x.,There is only one solution for x.,There are only two solutions for x.,There are only three solutions for x.,General Mental Ability & CSAT,Age Problems,Milkman Problem,,,,,"SKIPPED - question text appears blank/malformed in source data, can't judge"
Q001927,Ohm meter is unit of:,Resistance,Conductance,Resistivity,Charge,General Science,Physics,Electric Charge,Y,,N,Electricity & Resistivity,"Ohm-metre is a resistivity unit, not 'Electric Charge'"
Q000681,Who earned the title of 'Recruiting Sergeant of the British' for his support to the government during the First World War?,Motilal Nehru,Mahatma Gandhi,Gopal Krishna Gokhale,Madan Mohan Malviya,History of Bihar,Bihar's Role in 1857,Recruiting Sergeants,N,History of India,N,Indian National Movement (WWI era),"About a national leader's WWI-era stance, not Bihar-specific"
Q000136,Which of the following is a non-sense codon?,UAA,AUG,UUU,UGC,General Mental Ability & CSAT,Blood Relations,Maternal Lineage,N,General Science,N,Genetics/Molecular Biology,"Non-sense codon is genetics, not a Blood Relations reasoning puzzle"
Q002518,"Who has been selected for the Nobel Peace Prize, 2020?",European union (B) World food program,,Robert B. Wilson (D) Paul R. Milgram,,Current Affairs,National,"Nobel Peace Prize, 2020",Y,,N,International,Should be International not National
Q000278,Match the following in context of Ashpradhan system of Maratha rulers: Official Choose the correct option,"a-2, b-1, c-4, d-3","a-1, b-2, c-3, d-4","a-3, b-4, c-1, d-2",More than one of the above,History of India,Mughal Empire,Ashpradhan system of Maratha rulers,Y,,N,Maratha Empire (Ashtapradhan),"Ashtapradhan is Shivaji's Maratha council, not Mughal Empire"
Q001718,What is the full form of EPCG?,Export Promotion Consumer Goods,Exchange Programme for Consumer Goods,Export Promotion Capital Goods,Expert Programme for Credit Generation,Miscellaneous,Miscellaneous,EPCG,N,Indian Economy,N,Foreign Trade Policy,"EPCG is a trade-policy term, not really Miscellaneous"
Q002725,Amnesty International is an organization which is associated with,Protection of women's rights,Protection of human rights,abolition of untouchability,None of the above,Society,Social Issues,Amnesty International,Y,,Y,,
Q000151,The temple at Deogarh near Jhansi and the sculptures in the temple at Garhwa near Allahabad are important remains of,Rashtrakuta art,Gupta art,Maurya art,None of the above,History of Bihar,Sasaram,The temple at Deogarh near Jhansi and the sculptures in the temple at Garhwa near Allahabad are important remains of,N,History of India,N,Gupta Empire (Art),"Deogarh/Garhwa are in UP, unrelated to Bihar; this is Gupta-era art"
Q000886,Who was the editor of Searchlight newspaper in Bihar?,Abdul bari (B) Lambodar Mukherjee,,Murali Mohan Prasad,Ramanand Chatterjee,Bihar Polity & Governance,Bihar Legislature,Searchlight newspaper,N,History of Bihar,N,Press & Media / Freedom Movement in Bihar,"Newspaper editor history, not a governance/legislature topic"
Q000194,"Which of the following statements are correct? I. Harappa was excavated in 1921. II. Presently, Harappa is in Pakistan. III. Harappa was on the banks of the Vyas river IV. Harappa's excavator was R. D. Banerjee. V. Copper chariot with umbrella has been found from Harappa.",I and II only,Only I II and V,II and IV only,Only I II III and IV,Geography,Rivers,Trade Ports - Gupta,N,History of India,N,Indus Valley Civilization,"Harappa statements are Ancient History (IVC), not Geography"
Q002205,Pituitary gland is located in:,Intestine,Liver,Kidney,Brain,General Science,Biology,Pituitary gland,Y,,Y,,
Q000788,"At which place in Bihar, North India's first 'Bird Ringing Station' been recently opened?",Bhagalpur,Saran,East Champaran,West Champaran,Geography,Rivers,Bird Ringing Station,Y,,N,Bihar Wildlife/Environment,"Bird ringing station is wildlife/conservation, not Rivers"
Q000183,"The Triratna or the three gems, namely, right knowledge, right faith and right action, are related to which of the following?",Buddhism,Hindu Religion,Jainism,Christianity,History of India,Buddhism,Triratna,Y,,N,Jainism,"Triratna (three jewels) is a Jainism concept, not Buddhism"
Q001336,"By whom is the Chief Minister of a Union Territory where such a provision exists, appointed?",President,Prime Minister,Vice President,Lieutenant Governo,Indian Polity,Constitution,Restrictions on Fundamental Rights,Y,,N,Union Territories Administration,Topic unrelated to the actual question about UT CM appointment
Q003068,The divisor of the expression for every integer x is:,13,15,24,25,Mathematics — Mains,Algebra,Divisor Calculation,N,General Mental Ability & CSAT,N,Quantitative Aptitude,Looks like another pure math problem misrouted to Mathematics-Mains (question text looks truncated - worth checking source extraction)
Q000379,"Ramakrishna Param Hansa- Spiritual organization of saint (Vellore Math- West Bengal) 2. Ramakrishna Mission- Teachings, school, relief camps etc. for service work. 28. The hundred years of Indian National Congress in Bihar was edited by-",K. K. Dutta,P. N. Ojha,A. R. Desai,B. B. Mishra,Bihar Economy,Agriculture,Rice Production,N,History of Bihar,N,Historiography/Freedom Movement Literature,Actual question (buried in garbled OCR text) asks who edited 'Hundred Years of Congress in Bihar' - nothing to do with rice production
Q002701,In which area was the 'Indo-US military exercise ‘Yudh Abhyas 2014’ held?,Solan (Himachal Pradesh),Gairsen (Uttarakhand),Ranikhet (Uttarakhand),Poonch (Jammu and Kashmir),History of Bihar,Sasaram,In which area was the ‘Indo-US military exercise ‘Yudh Abhyas 2014’ held?”,N,Current Affairs,N,Defense Exercises,"India-US military exercise, not Bihar history"
Q000950,In which state is Barh Super Thermal Power Station (B.S.T.P.S.) located?,Bihar,Karnataka,Rajasthan,Punjab,Art & Culture,Bihar Culture,Mahabodhi Temple,N,Bihar Economy,N,Infrastructure & Energy,Power station location fact - Mahabodhi Temple topic is completely unrelated
Q002577,Which country was invited by the host UAE as the ‘Guest of Honour’ to attend 46<sup>th</sup> Session of the Council of Foreign Ministers of the Organization of Islamic Cooperation (OIC) held in Abu Dhabi recently?,Pakistan,Oman,India,Türkiye,Geography,Rivers,Kosi-Mechi Link Project,N,Current Affairs,N,International,Looks like a stuck/default tag - 'Geography/Rivers/Kosi-Mechi Link Project' unrelated to this OIC summit question
Q001392,Which state in India is the leading producer of thorium?,Kerala (B) Bihar,,Jharkhand (D) Madhya Pradesh,,Environment & Ecology,Biodiversity,National Biodiversity 2022,N,Geography,N,Mineral Resources,"Thorium production is a mineral-resource/geography fact, not biodiversity"
Q001096,In which of the following districts is there no land covered with forest?,Bhojpur,Rohtas,Nawada,Munger,Geography,Soils,Soil,Y,,N,Forests,"Forest cover by district - topic should be Forests, not Soils"
Q000915,What is the estimated percentage increase in state revenue surplus in Bihar in 2018-19 as compared to 2017-18?,40%,50%,54%,44%,Bihar Economy,Bihar Budget,Estimated percentage increase in state revenue surplus in Bihar in 2018-19 as compared to 2017-18?,Y,,Y,,
Q002133,The process of separating different dissolved constitutents of a mixture by their adsorption on an appropriate material is called :,Diffusion (B) Distillation,,Chromatography (D) Centrifugation,,General Science,Chemistry,Colloids,Y,,N,Separation Techniques,"Chromatography is a separation technique, not under Colloids"
Q000628,"Before the establishment of Indian Nationa Congress, the most important organization was:",Bengal British India Society,East India Association,Young Bengal Association,Indian Association of Calcutta,History of India,British Expansion,British Administrative Policies,Y,,N,Indian National Movement (Pre-Congress Organizations),"Pre-INC organizations belong under National Movement, not British Expansion/Admin Policies"
Q002849,Which has become the only city in India in 2020 to be recognized as a ‘Tree City of the World’ in recognition of the City’s commitment to grow and maintain urban forest?,Shimla,Imphal,Bengaluru,Hyderabad,History of India,Buddhism,Buddhist Monasteries,N,Current Affairs,N,Environment/Awards,2020 Tree City recognition - Buddhism/Buddhist Monasteries is completely unrelated
Q000333,'Permanent settlement' was done with?,With the landlords,With rural communities,With lawsuits,With the farmers,Geography,Soils,Soil,N,History of India,N,Colonial Land Revenue Systems,"Permanent Settlement is a Cornwallis-era land revenue system, not Geography/Soils"
Q000735,"In which district of Bihar, the fornut is produced highest?",Vaishali,Muzaffarpur,Patna,Madhubani,Agriculture,Bihar Agriculture,fornut production,Y,,Y,,
Q001913,Which of the following does not change when light travels from one medium to another?,Velocity,Wavelength,Frequency,Refractive index,General Science,Physics,Light - Wavelength,Y,,Y,,
Q001545,How many latitude are there on the globe drawn at 1 degree interval?,179,178,180,none of above,Geography,Climatology,Latitude,Y,,N,Geographic Coordinates/Grid,"Latitude count is a coordinate-system fact, not Climatology"
Q001426,"Among the following religious groups, which one has recorded the highest percentage of literacy rate as per the 2011 Census?",Christians,Hindus,Sikhs,Jains,Society,Social Issues,Literacy Rate,Y,,Y,,
Q002469,Who has been awarded with the Dadasaheb Phalke Indian Television Award in 2022 from Bihar?,Sharda Sinha,Deep Shrestha,Madan Pande,Shatrughan Sinha,Current Affairs,Environment,Dadasaheb Phalke Indian Television Award,Y,,N,Awards & Honours,"Award-related topic, not Environment"
Q001114,Which IAS officer founded Sudha Cooperative?,Ram Chandra Das,Ram Chandra Sinha,Ram Chandra Singh,Ram Chandra Mishra,History of Bihar,Important Personalities,Sudha Cooperative,Y,,Y,,
Q000678,Which British officer reported to the Government of India that the Muslims of Patna were in correspondence with 64<sup>th</sup> Native Infantry near Peshawar and urged it to revolt against the British?,Robert Montgomery (B) John Lawrence,,Charles Matcalf (D) General Van Cortlandt,,History of India,British Expansion,Muslim Revolt - 64th Native Infantry,N,History of Bihar,N,Bihar's Role in 1857,This is specifically about Patna/1857 - should use the 'Bihar's Role in 1857' topic that other rows mis-tag elsewhere
Q000267,What is the name of Kalhan's book?,Arthshastra,Indica,Purana,Rajtarangini,History of India,Mahajanapadas,Purananur,Y,,N,Medieval Regional Histories (Kashmir Chronicles),Kalhan's Rajatarangini is unrelated to Mahajanapadas; subtopic 'Purananur' also looks wrong
Q002601,The newly appointed Cabinet Secretary of India is,Rajiv Gauba,Rajiv Kumar,PK Goyal,Rajiv Maharshi,Art & Culture,Indian Culture,Bhagirathi Devi - Padma Shri,N,Current Affairs,N,National Appointments,"Cabinet Secretary appointment is a current-affairs item, unrelated to Art & Culture"
Q002837,Who from Bihar had received the Param Vir Chakra’ for exemplary bravery in 1971 Indo-Pak War?,Albert Ekka (B) Sanjay Kumar,,Karam Singh (D) Piru Singh,,History of Bihar,Important Personalities,Kunwar Singh,Y,,N,Awards & Honours (Defense),Kunwar Singh (1857 rebel) is unrelated to a 1971-war Param Vir Chakra awardee
Q002925,What should come in place of question mark (?) in the following?,22,18,136,20,General Mental Ability & CSAT,Number & Letter Series,Pattern Recognition,Y,,Y,,
Q000049,"Which of the following statement/s is/are correct regarding the Indian cement industry? 1. Around 87% of India's cement industry is concentrated in a few major states like Rajasthan, Andhra Pradesh and Madhya Pradesh. 2. India is the largest producer of cement in the world. 3. Most cement plants in India are located far from raw material sources and near to the ports to support exports. Select the correct answer using the codes given below:",1,2,1 and 3,More than one of the above,Geography,Industries,Cement Industry,Y,,Y,,
Q000236,Who identified Chandragupta Maurya as Sandrocottos?,William Jones,V. Stim,R.K. Mukherjee,D. R. Bhandarkar,History of India,Mauryan Empire,Chandragupta Maurya's Recognition,Y,,Y,,
Q002481,"Under Digital Bihar programme, which students will receive computer education and training from 2021-22 onward?",All students of Class V,All students of Class VI,All students of Class VII,All students of Class VIII,Bihar Polity & Governance,Bihar Government Schemes,Digital Bihar programme,Y,,Y,,
Q002429,Which of the following Union Ministry recently launched the YUVA 2.0 Scheme in 2022?,AYUSH Mantralay,Health and Family Welfare Ministr,Education Ministry,More than one of the above,Current Affairs,Bihar Current Affairs,YUVA 2.0 Scheme,Y,,N,National Schemes,"YUVA 2.0 is a national scheme, not Bihar-specific"
Q001478,Which of the following states has the highest percentage of Scheduled Caste people?,Bihar,West Bengal,Uttar Pradesh,Punjab,Society,Social Issues,Scheduled Caste Population,Y,,Y,,
Q002362,"In the Union Budget speech for 2024-25, which oilseeds were noted as not being covered under the goal of 'Atmanirbharta' (self-reliance) for oil?",Sesame,Coconut,Soybean,Groundnut,Current Affairs,Bihar Current Affairs,Union Budget 2024-25 Oilseeds,Y,,N,National Budget/Economic Policy,"Union Budget is national, not a Bihar current-affairs item"
Q001951,The main components of greenhouse gases is:,Carbon dioxide,Methane,Nitrous oxide,ozone,General Science,Physics,Electric Current Measurement,N,Environment & Ecology,N,Climate Change/Greenhouse Gases,Greenhouse gases fit Environment; topic 'Electric Current Measurement' is unrelated
Q000067,What is the main purpose of Panchayati Raj?,To increase agriculture production,To increase employment,To increase people's political awareness,To enable people to participate in development administration,Bihar Polity & Governance,Panchayati Raj,Main purpose of Panchayati Raj,Y,,Y,,"Generic Panchayati Raj question grouped under Bihar Polity & Governance - acceptable if intentional, otherwise could be Indian Polity"
Q000119,A pair of Oxen exerts a force of 140 newton while ploughing the field.The field ploughed is 15 meter long.The work done in ploughing the length of the field is:,1900 Joule,2000 Joule,2100 Joule,2200 Joule,Agriculture,Fundamentals,A pair of Oxen exerts a force of 140 newton while ploughing the field.The field ploughed is 15 meter long.The work done in ploughing the length of the field is:,N,General Science,N,Physics (Work & Energy),"Work = force x distance calculation, not an Agriculture topic"
Q002403,"The National Education Policy, 2020 emphasizes on integrating vocational education into mainstream education from which grade?",Grade- 8,Grade- 10,Grade- 12,Grade- 6,Current Affairs,Bihar Current Affairs,"Rudraksh Balasaheb Patil, men’s 10 meter air rifle, ISSF World Championship, Cairo",Y,,N,National Education Policy,"NEP 2020 is a national policy, not Bihar-specific current affairs"
Q000971,Partition of Bengal was announced,"July 19, 1905",07-Aug-05,"August 15, 1905","October 16, 1905",History of India,British Expansion,Partition of Bengal,Y,,Y,,
Q001510,"Indira Gandhi Canal, irrigating Thar Desert originates from:",Bhakra Dam,Hathnikund Barrage,Harike Barrage,Ranjit Sagar Dam,Geography,Rivers,Indira Gandhi Canal,Y,,Y,,
Q001580,Name the city of Russia that is known as ‘Venice of North',Vladivostok,St. Petersburg,Novosibirsk,Moscow,Disaster Management,Indian Ocean Earthquake,Which of the following statements is not correct regarding the Indian Ocean earthquake of 2004 and the resulting tsunami,N,Geography,N,World Geography (Cities),City-identification fact; Disaster Management/Indian Ocean Earthquake is unrelated
Q002539,When was the Citizenship (Amendment) Act passed?,"December 11, 2018","December 11, 2019","October 11, 2019","October 11, 2020",Current Affairs,National,Citizenship (Amendment) Act passed,Y,,Y,,
Q000712,Who among the following helped Subhash Chandra Bose to create INA in Singapore in 1943??,General Cariappa,General Mohan Singh,General Manekshan (D),,History of India,Bhakti Movement,Subhash Chandra Bose,Y,,N,Indian National Army / WWII Freedom Movement,INA formation is unrelated to the Bhakti Movement
Q002996,If then the value of S is,125,,,130,Mathematics — Mains,Algebra,Equation Solving,N,General Mental Ability & CSAT,N,Quantitative Aptitude,Same pattern as Q002970/Q003068 - pure math problem misrouted to Mathematics-Mains
Q002433,The Prime Minister inaugurated the first greenfield airport ‘Donyi Polo Airport’ in which of the following locations?,Dibrugarh,Dholka,Itanagar,More than one of the above,Geography,Floods,Donyi Polo Airport,Y,,N,Infrastructure/Current Affairs,Airport inauguration fact; 'Floods' topic is unrelated
Q002759,"After the amendment in the Indian Constitution by the Parliament on 14 August 2007, what is the number of castes in the list of Scheduled Castes?",607,1206,1410,1500,Indian Polity,Constitution,Restrictions on Fundamental Rights,Y,,N,Scheduled Castes Provisions,"About the SC list amendment, not Fundamental Rights restrictions"
Q001021,Where did Lord Sinha resign from the post of Governor in 1921?,Bihar-Orissa,Bengal,Punjab,Madras,History of Bihar,Bihar's Role in 1857,Patna Residency,Y,,N,Bihar Governors/Administrative History,1921 Governor resignation is unrelated to 1857 or Patna Residency
Q001160,Under which article of the Indian Constitution the annual financial Statement Budget is necessary to laid before the Parliament?,Article 113 (B) Article 114,,Article 112 (D) Article 111,,Indian Polity,Constitution,Article 112,Y,,Y,,
Q000638,Brahmo Samaj was founded by Raja Rammohan Roy in?,1816 AD,1820 AD,1828 AD,1830 AD,History of India,Bhakti Movement,Brahmo Samaj,Y,,N,19th Century Socio-Religious Reform Movements,"Brahmo Samaj (1828) is a reform movement, not the medieval Bhakti Movement"
Q002619,With which nation. India has signed an agreement ‘Mobilize You City’ in September 2018?,Sweden,Germany,Japan,France,Indian Economy,Development,Mobilize You City,N,Current Affairs,N,International Agreements,"2018 bilateral MoU is a current-affairs item, not Indian Economy/Development"
Q002795,Who is the Secretary General of the United Nations?,Kofi Annan,U Thant,Kurt Walheim,None of these,Current Affairs,National,International Summits,Y,,N,International Organizations,"Should be International, not National"
Q001763,First Five Year plan in India was based on the:,Harrod-Domar Mode,Mahalanobis Model,Dadabhai Naoroji Model,J.L. Nehru model,Indian Economy,Development,Five Year Plan,Y,,Y,,
Q002192,"Pine, Fir, Spruce, Cedar, Larch and Cypress are the famous timber-yielding plans of which several also occur widely in the hilly regions of India. All these belong to:",Angiosperms,Gymnosperms,Monocotyledon,Dicotyledon,General Science,Biology,Pine Timber Yield,Y,,N,Botany/Plant Classification,"Gymnosperm classification is Botany, not really about 'Pine Timber Yield'"
Q000966,Who formed the Kisan Sabha in Munger in 1922- 23?,Swami Sahajanand Saraswati],Shri Krishna Singh,Mohammad Zubair,K. N Singh,History of Bihar,Champaran Satyagraha,Indigo Farmers' Protest,Y,,N,Peasant Movements in Bihar,Kisan Sabha (Munger) is separate from the Champaran indigo satyagraha
Q001891,Which of the following is not a ‘vector quantity’?,Speed,Velocity,Torque,Displacement,General Science,Physics,Which of the following is not a ‘vector quantity’?,Y,,Y,,
Q000291,The Qutub Minar was completed by,Iltutmish,Qutb-ud-din Aibak,Ulugh Khan,Raziya Sultan,History of India,Mughal Empire,Qutub Minar,Y,,N,Delhi Sultanate,"Qutub Minar/Iltutmish belongs to the Delhi Sultanate, not the Mughal Empire"
Q002646,Bilateral military exercise 'Harimau Shakti 2018' has been conducted between India and which country?,Indonesia,Malaysia,New Zealand,South Korea,Current Affairs,International,India-Egypt Bilateral Military Exercise,Y,,Y,,Subtopic wrongly says India-Egypt but Topic bucket (International) is fine
Q001029,The Planning Commission estimated the following percentage of Below Poverty Line (BPL) for Bihar in 1993-94.,55,65,45,35,Geography,Rivers,Kosi-Mechi Link Project,N,Bihar Economy,N,Poverty/BPL Estimates,"Looks like a stuck 'Kosi-Mechi Link Project' tag, unrelated to this BPL statistic question"
Q000043,"Before the launch of Kisan Rin Portal (KRP), farmers used to submit manual claims under the Interest Subvention and Prompt Repayment Incentive schemes to which ofthe following institution/s?",Ministry of Agriculture and Farmers Welfare and NABARD,Reserve Bank of India and NABARD,National Payments Corporation of India and Reserve Bank of India,More than one of the above,Agriculture,Fundamentals,Interest Subvention and Prompt Repayment Incentive schemes,Y,,Y,,
Q001353,Which one of the following was not originally included in the Preamble of the Constitution of India?,Freedom and equality,Secular and democracy,Socialist and equality,Socialist and secular,Indian Polity,Constitution,Preamble,Y,,Y,,
Q001049,"According to the 2001 census, Bihar is the largest populous state of India.",Second,Third,Fourth,Fifth,History of India,Mughal Empire,Administrative Reforms,N,Geography,N,Population,"Census population-rank fact, not Mughal Empire history"
Q002854,Which is the first country in the world to provide free sanitary products to all women in their country?,USA,Switzerland,UK,Scotland,Society,Social Issues,Women's Health,Y,,Y,,
