Question ID,Subject,Topic,Subtopic
Q000036,General Mental Ability & CSAT,Human Development,Capability Poverty Measure (CPM)
Q000037,General Mental Ability & CSAT,Indicators of Poor Health and Nutrition,Child Malnutrition
Q000038,General Mental Ability & CSAT,Forest Cover,India State of Forest Report 2023
Q000039,General Mental Ability & CSAT,Global Services Export,Country Share in 2023
Q000040,General Mental Ability & CSAT,U-WIN Portal,Incorrect Statements
Q000041,General Mental Ability & CSAT,NUIS Digital Blueprint,National Institute of Urban Affairs (NIUA)
Q000042,General Mental Ability & CSAT,Bharatmala Pariyojana,Rajasthan - Highest Constructed Road Length
Q000043,General Mental Ability & CSAT,Kisan Rin Portal,Ministry of Agriculture and Farmers Welfare and NABARD
Q000044,General Mental Ability & CSAT,Coding-Decoding,USD 640 Billion as of December 2024
Q000045,General Mental Ability & CSAT,Coding-Decoding,Himachal Pradesh and Jammu & Kashmir
Q000046,General Mental Ability & CSAT,Labour Force Participation Rate (LFPR),Increase in Rural Female LFPR since 2021-22
Q000047,General Mental Ability & CSAT,"Science, Technology and Innovation Policy 2020",One Nation One Subscription
Q000048,General Mental Ability & CSAT,Coding-Decoding,GVA Share Increase from 2020-21 to 2022-23
Q000049,General Mental Ability & CSAT,Coding-Decoding,Code language
Q000050,General Mental Ability & CSAT,Decision Making,Personalized mentoring for lagging students to reach grade-level competencies
Q000051,General Mental Ability & CSAT,Puzzle,YUVA framework components
Q000052,General Mental Ability & CSAT,Quantitative word-problems,Simple and compound interest
Q000053,General Mental Ability & CSAT,Number Series,Demographic dividend peak
Q000054,General Mental Ability & CSAT,Quantitative word-problems,Employment among women in Bihar
Q000055,General Mental Ability & CSAT,Coding-Decoding,Recruitment of Secretarial staff
Q000056,General Mental Ability & CSAT,Coding-Decoding,Advice to the President on legal matters
Q000057,General Mental Ability & CSAT,Coding-Decoding,Protection of wildlife
Q000058,General Mental Ability & CSAT,Coding-Decoding,Promotion of cottage Industry in rural areas
Q000059,General Mental Ability & CSAT,Coding-Decoding,Administration of scheduled areas
Q000060,General Mental Ability & CSAT,Coding-Decoding,Ministries and Departments are formed by the Prime Minister
Q000061,General Mental Ability & CSAT,Constitutional Bodies,Procedures of State Legislature
Q000062,General Mental Ability & CSAT,Fundamental Rights,Restrictions on Fundamental Rights
Q000063,General Mental Ability & CSAT,Constitutional Bodies,Qualification of Finance Commission Members
Q000064,General Mental Ability & CSAT,Parliamentary Procedures,Prorogation of a Session
Q000065,General Mental Ability & CSAT,Panchayati Raj Institutions,Empowerment for Financial Review
Q000066,General Mental Ability & CSAT,Economic Schemes,Atmanirbhar Bharat Scheme
Q000067,General Mental Ability & CSAT,Panchayati Raj Institutions,Purpose of Panchayati Raj
Q000068,General Mental Ability & CSAT,Parliamentary Procedures,Censure Motion Characteristics
Q000069,General Mental Ability & CSAT,Judicial System,Jurisdiction of High Court and Supreme Court
Q000070,General Mental Ability & CSAT,Coding-Decoding,Safety Valve Theory - Bipin Chandra Pal
Q000071,General Mental Ability & CSAT,Coding-Decoding,Bomb Throw on Viceroy - Lord Minto
Q000072,General Mental Ability & CSAT,Coding-Decoding,Professor of Indian Philosophy - Virendranath Chattopadhyay
Q000073,History of India,Indian National Movement,Balwant Rai Mehta
Q000074,History of Bihar,Bihar's Role in 1857,Dadabhai Naoroji
Q000075,History of India,Indian National Movement,Indian National Congress
Q000076,History of India,Mahajanapadas,Subhas Chandra Bose
Q000077,History of India,Bharti Movement,Muhammad Shafi
Q000078,History of India,Indian National Movement,Muhammad Ali Jinnah
Q000079,History of India,Constitutional Development,Partition of India Act 1947
Q000080,History of Bihar,Bihar's Role in 1857,Rajeshwari Dayal
Q000081,History of Bihar,Kisan Movement,Sridhar Swami
Q000082,History of Bihar,Champaran Satyagraha,Mahavir Singh
Q000083,History of Bihar,Kunwar Singh,Murder at Bikram Police Station
Q000084,History of Bihar,Bihar's Role in 1857,Rajeshwari Dayal
Q000085,History of India,Mauryan Empire,Ashoka
Q000086,History of Bihar,Harshavardhana,Assembly at Prayag
Q000087,Indian Polity,Constitution,Articles of the Constitution
Q000088,Art & Culture,Tulsidas,Works of Tulsidas
Q000089,Indian Economy,Development,Economic Reforms
Q000090,General Mental Ability & CSAT,Constitution,Constitutional Bodies
Q000091,History of Bihar,Nalanda University,Acharyas of Nalanda University
Q000092,History of India,British Expansion,Treaty of Salbai
Q000093,Bihar Economy,Newspapers,First Newspaper of Bihar
Q000094,General Mental Ability & CSAT,Kisan Sabha,Dr. Rajendra Prasad
Q000095,Geography,Straits,Strait of Hormuz
Q000096,General Mental Ability & CSAT,Coding-Decoding,Symbol Substitution
Q000097,Geography,Rivers,Kosi River
Q000098,Art & Culture,Bihar Culture,Ladang
Q000099,Geography,Rivers,Godavari River
Q000100,Geography,Rivers,Ganga River
Q000101,Geography,Rivers,Alaknanda River
Q000102,Geography,Rivers,Vishnuprayag Confluence
Q000103,Art & Culture,Bihar Culture,Meerut Craft - Chikanery
Q000104,Geography,Soils,Black Cotton Soil
Q000105,Geography,Agriculture,Kanha National Park
Q000106,Geography,Rivers,Loktak Lake
Q000107,Geography,Biodiversity,Bihar Wildlife
Q000108,Bihar Polity & Governance,Important Personalities,Kunwar Singh
Q000109,History of Bihar,Sasaram,Sasaram Archaeological Museum
Q000110,Geography,Rivers,Karmanasa River
Q000111,Indian Economy,Minerals,Pyrite
Q000112,Geography,Soils,Gold Deposits
Q000113,Geography,Climate,Tropical Monsoon Climate
Q000114,Geography,Rivers,Kosi River
Q000115,General Mental Ability & CSAT,Blood Relations,Force and Friction
Q000116,General Mental Ability & CSAT,Mathematical & Symbol Operations,Energy Conversion (Units) - Joules
Q000117,General Mental Ability & CSAT,Mathematical & Symbol Operations,Energy Conversion (Units) - Joules
Q000118,General Science,Physics,Potential Energy
Q000119,General Mental Ability & CSAT,Mathematical & Symbol Operations,Work Done - Force x Distance
Q000120,General Mental Ability & CSAT,Coding-Decoding,Focal Length of a Plane Mirror
Q000121,General Mental Ability & CSAT,Mathematical & Symbol Operations,Arithmetic
Q000122,General Mental Ability & CSAT,Mathematical & Symbol Operations,Coding-Decoding
Q000123,General Mental Ability & CSAT,Mathematical & Symbol Operations,Coding-Decoding
Q000124,Indian Economy,Banking,Financial System
Q000125,General Mental Ability & CSAT,Mathematical & Symbol Operations,Age Problems
Q000126,General Science,Chemistry,Metal Compounds
Q000127,General Science,Chemistry,Metal Compounds
Q000128,General Science,Chemistry,Metal Compounds
Q000129,General Science,Chemistry,Chemical Reactions
Q000130,General Science,Chemistry,Chemical Reactions
Q000131,General Science,Chemistry,Polymer Chemistry
Q000132,General Mental Ability & CSAT,Blood Relations,Family Relation Puzzle
Q000133,General Mental Ability & CSAT,Coding-Decoding,Herpes Simplex Virus and Human
Q000134,General Mental Ability & CSAT,Coding-Decoding,First Immunoglobulin Produced
Q000135,General Mental Ability & CSAT,Coding-Decoding,Biological Membranes Composition
Q000136,General Mental Ability & CSAT,Mathematical & Symbol Operations,Non-sense Codon
Q000137,General Mental Ability & CSAT,Blood Relations,Endangered Species
Q000138,Indian Economy,Agriculture,Kharif Crop
Q000139,General Mental Ability & CSAT,Age Problems,Xylem Function
Q000140,General Mental Ability & CSAT,Blood Relations,Linnaeus Classification
Q000141,General Mental Ability & CSAT,Coding-Decoding,Mango Part
Q000142,General Mental Ability & CSAT,Age Problems,Ozone Day Celebration
Q000143,General Mental Ability & CSAT,Mathematical & Symbol Operations,Mycorrhizal Association Advantage
Q000144,General Mental Ability & CSAT,Coding-Decoding,Famous Buddhist Learning Centres
Q000145,History of India,Vedic Age,Rigveda
Q000146,History of India,Indus Valley Civilization,Harappa
Q000147,History of India,Mauryan Empire,Chandragupta Maurya
Q000148,History of India,Ashoka,Ashoka’s Pillar
Q000149,History of India,Indus Valley Civilization,Mohenjo-daro
Q000150,History of India,Gupta Age,Deogarh Temple
Q000151,History of India,Chera Dynasty,Thamiz Khundram
Q000152,History of India,Early Medieval India,Chera Dynasty
Q000153,History of India,Early Medieval India,Assam
Q000154,History of India,Vakatakas,Praversena
Q000155,History of Bihar,Shishunag Dynasty,Haryak Vansh
Q000156,History of Bihar,Early Medieval India,Magadha
Q000157,History of India,Vedic Age,Ajivika sect
Q000158,History of India,Mauryan Empire,Council of Ashta Pradhan
Q000159,Art & Culture,Buddhism & Jainism,Painting of Bodhisattva Padmapani
Q000160,History of India,Chinese Pilgrims,Fa Hien and Hiuen Tsang
Q000161,Indian Polity,Constitution,List-I match with List-II
Q000162,History of India,Religious Movements,"Nathpanthis, Siddhas and Yogis"
Q000163,History of Bihar,Magadha,Capital of Magadha during early Vedic period
Q000164,History of India,Ancient Philosophers,Nitisara by Kautilya
Q000165,History of India,Buddhism,Meghavarman and Gupta Kings
Q000166,Geography,Religious Architecture,"Stupas, Chaityas and Viharas"
Q000167,History of India,Indus Valley Civilization,Animals known to the Indus Valley Civilization
Q000168,Geography,Rivers,Area south of the Ganga
Q000169,General Mental Ability & CSAT,Coding-Decoding,Numerical Substitution
Q000170,History of India,Mauryan Empire,Ashoka
Q000171,History of India,Harshavardhana,Administration
Q000172,History of India,Mauryan Empire,Chandragupta Maurya
Q000173,History of India,Buddhism,First Buddhist Council
Q000174,History of India,Gupta Age,Chandragupta I
Q000175,History of India,Gupta Age,Skandagupta
Q000176,History of India,Vardhan Dynasty,Prithviraj Chauhan
Q000177,History of India,Harshavardhana,Roman Trade
Q000178,History of India,Mauryan Empire,Dārtaṇa
Q000179,Geography,Harappan Sites,Dholavira
Q000180,History of India,Chola Dynasty,Vijayalaya Chola
Q000181,History of India,Vedic Age,Rigveda
Q000182,Indian Polity,Constitution,Fundamental Rights
Q000183,Indian Economy,Development,Five Year Plans
Q000184,Art & Culture,Buddhism & Jainism,Council of Vallabhi
Q000185,Geography,Rivers,Indus River
Q000186,General Science,Biology,Cell Biology
Q000187,Geography,Geomorphology,River Morphology
Q000188,History of India,Mauryan Empire,Chandragupta Maurya
Q000189,Art & Culture,Buddhism & Jainism,Stupa
Q000190,History of India,Harshavardhana,Kannauj
Q000191,History of India,Mauryan Empire,Ashoka
Q000192,General Science,Chemistry,Periodic Table
Q000193,History of India,Indus Valley Civilization,Harappa
Q000194,History of India,Indus Valley Civilization,Excavation of Harappa
Q000195,Geography,Rivers,Sapta-Saindhava
Q000196,History of India,Mauryan Empire,Chandragupta Maurya
Q000197,History of India,Mauryan Empire,Gratuity to Seleucus
Q000198,History of India,Harshavardhana,Mosque of Dhai Din Ka Jhonpra
Q000199,History of India,Islamic Period,Ibn Battuta
Q000200,History of India,Buddhism,First Sermon of Buddha
Q000201,Geography,Agriculture,Oldest Evidence of Agriculture
Q000202,History of India,Gupta Empire,Gold Currency
Q000203,History of India,Scientific Contributions,Earth's Rotation
Q000204,History of India,Mauryan Empire,Gautam Buddha's First Sermon
Q000205,History of India,Indus Valley Civilization,Periplus of the Erythraean Sea
Q000206,History of India,Indus Valley Civilization,Features of Indus Valley Civilization
Q000207,History of India,Mauryan Empire,Megasthenes
Q000208,History of India,Arthashastra,Kautilya
Q000209,History of India,Buddhism,Tripitaka
Q000210,History of India,Mauryan Empire,Ashoka's Dhamma
Q000211,History of India,Mauryan Empire,Division of Maurya Society
Q000212,History of India,Gupta Age,Fa-hien's Visit
Q000213,History of India,Chola Dynasty,Chola Period
Q000214,History of India,South Indian Kingdoms,Temple Entrance Gates
Q000215,History of India,Indus Valley Civilization,Sungyun's Visit
Q000216,History of India,Harappan Civilization,Terracotta Plough
Q000217,History of India,Vedic Age,Rigveda
Q000218,Geography,Soils,Black Cotton Soil
Q000219,History of India,Indus Valley Civilization,Excavation of Harappa and Mohenjo-daro
Q000220,History of India,Buddhism,First Sermon at Sarnath
Q000221,History of India,Harshavardhana,Fa-Hien
Q000222,History of India,Mauryan Empire,Kanishka
Q000223,History of India,Nalanda University,Kumarajiva
Q000224,History of India,Greek Influence in India,Megasthenes
Q000225,History of India,Indus Valley Civilization,Ports of Harappa
Q000226,Geography,Rivers,River Narmada
Q000227,History of India,Gupta Empire,Rudradaman I
Q000228,History of India,Kalhana,Rajatarangini
Q000229,History of India,Buddhism,Mahavir Swami
Q000230,History of India,Buddhism,Mahaparinirvana
Q000231,History of India,Buddhism,Dharma Chakra Pravartan
Q000232,History of Bihar,Magadha,Initial Capital
Q000233,History of Bihar,Mauryan Bihar,Ajatashatru's Dynasty
Q000234,History of Bihar,Buddhism,Third Buddhist Council
Q000235,Geography,Rivers,Kosi-Mechi Link Project
Q000236,Indian Polity,Constitution,Arthashastra Divisions
Q000237,History of India,Mauryan Empire,Chandragupta Maurya - Sandrocottos
Q000238,History of India,Mauryan Empire,Last Mauryan Emperor
Q000239,History of India,Buddhism,Third Buddhist Council (Kanishka) - City
Q000240,History of Bihar,Magadha,Megasthenes' Book
Q000241,History of India,Mauryan Empire,Ashokavarman
Q000242,History of India,Indus Valley Civilization,Harshacharita
Q000243,History of Bihar,Buddhism,Birthplace of Mahavira
Q000244,History of India,Buddhism,Mahaparinirvana
Q000245,History of India,Buddhism,Dharmachakra Pravartan
Q000246,History of India,Buddhism,Bodh Gaya
Q000247,History of Bihar,Magadha,Pataliputra
Q000248,History of Bihar,Gupta Period,Chandragupta Maurya
Q000249,History of India,Mauryan Empire,Third Buddhist Council
Q000250,History of Bihar,Mughal Bihar,Lead Coins
Q000251,History of India,Gupta Age,Ashoka's Economic Policy
Q000252,History of India,Gupta Age,Allahabad Prashasti
Q000253,History of India,Buddhist Sects,Theravada
Q000254,History of Bihar,Magadha,Pradyota
Q000255,History of India,Ancient India,Torman
Q000256,History of India,Mauryan Empire,Brihadeshwara Temple
Q000257,History of India,Religious Practices,Widow-Burning
Q000258,History of India,Mauryan Empire,Bimbisara
Q000259,History of Bihar,Magadha,Gorathgiri
Q000260,History of India,Nalanda University,Learning Center
Q000261,History of Bihar,Pala Dynasty,Ajatashatru Dynasty
Q000262,History of India,Buddhist Philosophy,Buddha's Teachers
Q000263,History of India,Mauryan Empire,Ashoka
Q000264,History of India,Buddhist Sects,Kaivalya Gyan
Q000265,History of India,Vedic Age,Anga
Q000266,History of India,Buddhism,Gautam Buddha
Q000267,History of India,Harshavardhana,Kalhan's book
Q000268,History of India,Mauryan Empire,First Buddhist Council
Q000269,History of India,Mauryan Empire,Gautam Buddha
Q000270,History of India,Bhakti Movement,Zilli-llahi
Q000271,History of India,Sufi Movement,Tarikh-i-Firoz Shahi
Q000272,History of India,Delhi Sultanate,Muqaddam or Chaudhuri
Q000273,History of India,Economic Impact,Land types - Amarkosha
Q000274,History of India,Harshavardhana,Types of land - Amarkosha
Q000275,History of India,Miscellaneous,None
Q000276,History of Bihar,Pala Dynasty,Tarikh-i-Firoz Shahi
Q000277,History of India,Mughal Empire,Akbar
Q000278,History of India,Ashpradhan system,Official
Q000279,History of India,Mauryan Empire,Babur
Q000280,History of India,Mughal Ports,Babul Makka
Q000281,History of India,Mughal Period,Nowruz
Q000282,History of India,Mughal Rulers,Futuhat-i-Alamgiri
Q000283,History of India,Delhi Sultanate,Muqaddam or Chaudhari
Q000284,History of India,Vijayanagara Empire,Nagalapuram
Q000285,History of India,Delhi Sultanate,Tabaqat-i-Akbari
Q000286,History of India,Delhi Sultanate,Khalifa
Q000287,History of India,Mughal Empire,Dar-ul-Islam
Q000288,History of India,Delhi Sultanate,Opposed the power of the Khalifa
Q000289,History of India,Mughal Empire,Tughril Khan
Q000290,History of India,Mughal Empire,First Mughal Ruler against British
Q000291,History of India,Gupta Age,Construction of Qutub Minar
Q000292,History of India,Vijayanagara Empire,Founder of Vijayanagara Empire
Q000293,History of India,Mughal Empire,Mughal Ruler who received Sir Thomas Roe
Q000294,History of India,Mughal Empire,Ain-i-Akbari written by
Q000295,History of India,Delhi Sultanate,Policy of 'blood and iron' adopted by
Q000296,History of India,Mauryan Empire,Elaborated local self-government
Q000297,History of India,Mughal Empire,Pietra Dura technique
Q000298,History of India,Mughal Empire,Establishment of Karkhanas by
Q000299,History of India,Mughal Empire,1565 AD War
Q000300,History of India,Delhi Sultanate,Establishment of Public Distribution System
Q000301,History of India,Bhakti Movement,Sher Shah Suri
Q000302,History of Bihar,Sher Shah Suri,Ashta Pradhan
Q000303,Art & Culture,Mughal Painting,Zenith
Q000304,Indian Economy,Development,Mansabdari System
Q000305,History of Bihar,Mauryan Bihar,Ashta Pradhan
Q000306,Geography,Rivers,Hooghly
Q000307,History of India,Mughal Empire,Piracy in Bay of Bengal
Q000308,Art & Culture,Bhakti Movement,Chishti Sect
Q000309,History of India,Mughal Empire,Foreign Minister (Shivaji's Administration)
Q000310,History of Bihar,Bhakti Movement,Bhakhtiyar Khilji Invasion
Q000311,Indian Economy,Fiscal Policy,Half Crop Revenue
Q000312,History of India,Sufi Movement,Shaikh Bahauddin Zakaria
Q000313,History of India,Mauryan Empire,Chanakya
Q000314,History of India,Harshavardhana,Allahabad Palace
Q000315,History of India,Sher Shah Suri,Sher Shah Suri - Akabar of Kashmir
Q000316,History of India,Vijayanagara Empire,Remains of Vijayanagara Empire
Q000317,History of India,Ancient India,Use of Paper in India
Q000318,History of India,Mughal Empire,European Paintings Introduction
Q000319,History of India,Mughal Empire,English East India Company Formation
Q000320,History of India,Mughal Empire,Diwan-e-Arj Department
Q000321,History of India,Mughal Empire,Founder of Bahmani Kingdom
Q000322,History of India,Mughal Empire,Jaswant and Dasawan Painters
Q000323,History of India,Bahmani Kingdom,Founder of Bahmani Kingdom
Q000324,History of India,Mughal Empire,Abdurrajiak - Persian Traveller
Q000325,History of India,Mahajanapadas,Magadha
Q000326,History of India,Mauryan Empire,Ashoka
Q000327,History of India,Vedic Age,Rigveda
Q000328,History of India,Harshavardhana,Vishnukot Dynasty
Q000329,History of India,Gupta Age,Chandragupta I
Q000330,History of India,Harshavardhana,Religious Tolerance
Q000331,History of India,Delhi Sultanate,Qutb-ud-din Aibak
Q000332,History of India,Mughal Empire,Akbar
Q000333,History of India,Bhakti Movement,Narsi Mehta
Q000334,Geography,Rivers,Kosi River
Q000335,Geography,North Bihar,Agra
Q000336,History of India,Mahajanapadas,Magadha
Q000337,History of India,Mahajanapadas,Magadha
Q000338,History of Bihar,Magadha,Devagiri
Q000339,History of India,Delhi Sultanate,Qutb-ud-din Aibak
Q000340,History of India,Mughal Empire,Jagirs
Q000341,History of Bihar,British Rule,Formation of Bihar and Orissa Province
Q000342,Ethics & Integrity — Mains,Thinkers,Balban
Q000343,History of India,Mughal Empire,R.P. Tripathi
Q000344,History of India,Mughal Empire,Firuz Shah Tughluq
Q000345,History of Bihar,Sher Shah Suri,R.P. Tripathi
Q000346,History of India,Delhi Sultanate,Muhammad Ghori
Q000347,History of Bihar,Chaulukyas of Gujarat,Ibn Batuta
Q000348,History of India,Mughal Empire,Ibn Batuta
Q000349,History of India,Mauryan Empire,Ashoka
Q000350,History of Bihar,Sher Shah Suri,Battle of Bilgram
Q000351,History of India,Chittor,Raja Lakama
Q000352,History of India,Mughal Administration,Chief Kazi
Q000353,History of India,Mughal Empire,Babur
Q000354,History of India,Khilji Dynasty,Alauddin Khilji
Q000355,History of India,Santhal Rebellion,Soren Sen
Q000356,History of India,British Education System,Lord Macaulay
Q000357,History of India,Indian National Congress,Dadabhai Naoroji
Q000358,History of Bihar,Champaran Satyagraha,Mahatma Gandhi
Q000359,Indian Polity,Indian National Congress,C Rajagopalachari
Q000360,Indian Polity,Indian National Congress,Jawaharlal Nehru
Q000361,History of Bihar,Revolt of 1857,Kunwar Singh
Q000362,Geography,Forts,Fort William College at Calcutta
Q000363,Indian Economy,Viceroy's Decentralization,Economic Structure
Q000364,History of India,Social Reformers,Gulam Giri
Q000365,Indian Polity,Vernacular Press Act,Press Control
Q000366,Indian Economy,Trade Unions,All India Trade Union Congress
Q000367,History of India,Indian National Congress,Gaya Session 1922
Q000368,History of Bihar,Permanent Settlement,Lord Dalhousie
Q000369,History of India,Revolt of 1857,Throwing Bombs
Q000370,Indian Polity,Indian National Congress,President Gaya Session 1922
Q000371,Indian Economy,Social Reformers,Brahma Samaj
Q000372,History of India,Azad Hind Fauz (INA),Not associated with Azad Hind Fauz (INA)
Q000373,History of India,Prehistoric India,Neolithic Settlements
Q000374,History of Bihar,Champaran Satyagraha,Gandhi's Champaran Visit
Q000375,General Science,Chemistry,Organic Chemistry
Q000376,Art & Culture,Bihar Culture,Patna University
Q000377,History of India,Indian National Movement,Patna Session of Congress (1912) - Rash Bihari Ghose
Q000378,General Mental Ability & CSAT,Blood Relations,Family Relationship Puzzle - Ramakrishna Param Hansa
Q000379,Bihar Polity & Governance,Bihar Legislature,Ramakrishna Mission
Q000380,Geography,Rivers,River - Delhi (Yamuna) - Capital Shift
Q000381,History of India,Indian National Movement,Lord Kitchener - 'DO OR DIE' Slogan (1919) - Gallipoli
Q000382,Indian Economy,Agriculture,"Muslim League - Direct Action Day (August 16, 1946) - Calcutta"
Q000383,Indian Polity,Constitution,Indian National Congress - Swadeshi Sevak Home
Q000384,General Mental Ability & CSAT,Coding-Decoding,Letter Series - Pattern Recognition
Q000385,History of India,Mahajanapadas,Vedic Age
Q000386,Indian Polity,Bihar Polity & Governance,Bihar Legislature
Q000387,Geography,Rivers,Kosi River
Q000388,History of India,World War II,Allied Support
Q000389,History of India,World War II,Axis Powers Support
Q000390,History of Bihar,Social Movements,Wood's Dispatch
Q000391,History of India,British Administration,Lord Mayo
Q000392,History of India,British Administration,Lord Mayo
Q000393,History of India,British Administration,Lord Mayo
Q000394,History of India,Social Movements,Home Rule Movement
Q000395,History of India,British Expansion,Treaty of Allahabad
Q000396,History of India,Indian National Movement,Non-Cooperation Movement
Q000397,History of Bihar,Champaran Satyagraha,Mahatma Gandhi’s address to the farmers
Q000398,History of India,Indian National Congress,"List-I and List-II matching – Gopal Krishna Gokhle, Ram Mohan Roy, Keshab Chandra Sen"
Q000399,History of India,Revolt of 1857,Lord Dalhousie’s statement about the failure of the revolt
Q000400,History of India,Indian National Congress,1906 Calcutta Session – Fundamental Rights resolutions
Q000401,History of India,Revolt of 1857,"Reasons for failure – Military superiority, lack of unified program, lack of support"
Q000402,History of India,Swadeshi and Boycott,First adoption during the 1906 Calcutta Session
Q000403,History of India,Indian National Congress,Bal Gangadhar Tilak unfurled the Flag of Swaraj
Q000404,History of India,Parallel Movements,"Princely States – Kashmir, Nizam’s Hyderabad, Travancore"
Q000405,History of India,Freedom Struggle,Incorrect statement – Only upper castes took part
Q000406,History of India,Indian National Congress,The Review – Abul Kalam Azad’s journal
Q000407,History of India,History and Nationalism,Study of history created a sense of shared identity and heritage
Q000408,History of Bihar,Non-Cooperation Movement,Participation of only upper castes and rich in towns
Q000409,History of Bihar,Bihar Current Affairs,Vinoba Bhave
Q000410,History of Bihar,Champaran Satyagraha,All India Harijan Sangh
Q000411,History of India,British Expansion,British Government's decision to withdraw from India
Q000412,Geography,Rivers,Battle of Plassey
Q000413,History of India,Constitutional Development,Boundary Commissions set up by Sir Cyril Radcliffe
Q000414,History of Bihar,Sher Shah Suri,Mahalwari Settlement in Bengal
Q000415,History of India,Bharti Movement,Vinoba Bhave started individual Satyagraha
Q000416,History of India,Indian National Movement,Congress split over Montford Reforms
Q000417,Indian Polity,Constitutional Development,Cabinet Mission's objectives
Q000418,History of Bihar,Social Reforms,William Bentinck's social reforms
Q000419,History of Bihar,Annexation of Sindh,Sind was conquered and annexed by the British
Q000420,History of India,British Expansion,First Census introduced in India
Q000421,History of India,Indian National Movement,"Sukhdev, Bhagat Singh and Rajguru hanging date"
Q000422,History of Bihar,Champaran Satyagraha,Third satyagrahi of individual satyagraha launched by Mahatma Gandhi in 1940
Q000423,Current Affairs,Science & Technology,Secret radio launched during Quit India Movement
Q000424,History of India,Mahatma Gandhi,"Sukhdev, Bhagat Singh and Rajguru"
Q000425,History of Bihar,Vaishali,Jhansi ki Rani Lakshmibai's death place
Q000426,History of India,Bhagat Singh,Person who said about Bengal Partition
Q000427,History of India,Indian National Movement,Sardar Udham Singh killed
Q000428,History of India,Indian National Movement,Led the 'Bardoli Satyagraha'
Q000429,Indian Polity,Constitution,Cabinet Mission members
Q000430,Current Affairs,Indian National Movement,Gandhi-Irwin Pact year
Q000431,History of India,Indian National Movement,Complete Independence Resolution Session
Q000432,History of Bihar,Sher Shah Suri,Subhash Chandra Bose renamed Nicobar Island
Q000433,History of India,Revolt of 1857,Chauri Chaura
Q000434,History of Bihar,Champaran Satyagraha,Kingsford
Q000435,History of India,Indian National Movement,Khudiram Bose
Q000436,Indian Economy,Development,Ryotwari System
Q000437,History of India,Mauryan Empire,Ashoka
Q000438,History of India,Indian National Congress,Annie Besant
Q000439,History of India,Indian National Congress,Jayaprakash Narayan
Q000440,History of India,Indian National Congress,Lahore Session 1929
Q000441,History of India,Revolt of 1857,Mahadev Bose
Q000442,History of Bihar,Indian National Congress,Sukhbai Mehta
Q000443,History of Bihar,Revolt of 1857,Kunwar Singh
Q000444,History of India,Quit India Movement,Jayaprakash Narayan
Q000445,History of India,Indian National Movement,Ghadar Party
