Question ID,Subject,Topic,Subtopic,Question
Q000091,History of Bihar,Nalanda University,Acharyas of Nalanda University,Who among the following was not an Acharya in The Nalanda Vishvavidyalaya?
Q000093,Bihar Economy,Newspapers,First Newspaper of Bihar,"Among the following Newspapers of Bihar, which was the first one to get published?"
Q000094,General Mental Ability & CSAT,Kisan Sabha,Dr. Rajendra Prasad,"Match List-I with List-II. List-I (Event/Organization) List-II (Related Person) (d) Kisan Sabha Bihar (4) Dr. Rajendra Prasad Select the correct answer using the code given below: Champaran Satyagraha - Dr. Rajendra Prasad: Dr Rajendra Prasad and other leaders actively participated in the Satyagraha that took place in Champaran in 1917 under the leadership of Mahatma Gandhi. • Azad Dasta - Jayaprakash Narayan: During the Qui India Movement, Jayaprakash Narayan formed the Azad Dasta in Nepal. • Individual Satyagraha in Bihar in 1940 - Shyam Narayan Singh: Shyam Narayan Singh participated in the Individual Satyagraha movement. • Kisan Sabha, Bihar - Sahajanand Saraswati: In 1929 Swami Sahajanand Saraswati formed the Bihar Provincial Kisan Sabha, which fought for the right of farmers. 101. Maginot Line exists between which countries?"
Q000095,Geography,Straits,Strait of Hormuz,Strait of Hormuz connects -
Q000108,Bihar Polity & Governance,Important Personalities,Kunwar Singh,Which ofthe following is the state animal of Bihar?
Q000111,Indian Economy,Minerals,Pyrite,Bihar produces_________ % of pyrite of whole India?.
Q000138,Indian Economy,Agriculture,Kharif Crop,Which of the following is a Kharif crop?
Q000148,History of India,Ashoka,Ashoka’s Pillar,The script written on Ashoka’s Pillar is?
Q000151,History of India,Chera Dynasty,Thamiz Khundram,The temple at Deogarh near Jhansi and the sculptures in the temple at Garhwa near Allahabad are important remains of
Q000154,History of India,Vakatakas,Praversena,Consider the following about the King “Praversena”: a. He was the real founder of Vakataka dynasty. b. His empire extended from Bundelkhand in north to Hydrabad in South. c. He succeeded his father king Vindhyshakti. d.He is mentioned in Puranas. Which of the following statements are correct?
Q000155,History of Bihar,Shishunag Dynasty,Haryak Vansh,Which ofthe following great ruler founded the “Haryak Vansh” in ancient Bihar?
Q000156,History of Bihar,Early Medieval India,Magadha,Which dynasty ruled Magadh (Bihar) after Shishunag dynasty?
Q000160,History of India,Chinese Pilgrims,Fa Hien and Hiuen Tsang,Consider the following statements: 1. Fa Hien was a Chinese pilgrim who visited India during the reign of Harsha 2. Hiuen Tsang was a Chinese Buddhist monk who visited India during the reign of Chandragupta II. Which of the statements given above is/are correct?
Q000162,History of India,Religious Movements,"Nathpanthis, Siddhas and Yogis","Nathpanthis, Siddhas and Yogis made devotional religion popular in"
Q000164,History of India,Ancient Philosophers,Nitisara by Kautilya,"Nitisara, an early book of politics, was written by"
Q000166,Geography,Religious Architecture,"Stupas, Chaityas and Viharas","In Indian art, the construction of stupas, chaityas and viharas is related to which of the following?"
Q000176,History of India,Vardhan Dynasty,Prithviraj Chauhan,Who established trade relations with the Roman Empire?
Q000179,Geography,Harappan Sites,Dholavira,Who was the founder of Chola dynasty?
Q000180,History of India,Chola Dynasty,Vijayalaya Chola,Who was the president of the first Buddhist council?
Q000199,History of India,Islamic Period,Ibn Battuta,Which of the following statements are correct? I. Kalhan's book Rajtarangini is in Sanskrit II. Ibn Battuta was appointed the Qazi of Delhi III. Padshahnama of Abdul Hamid Lahori is about the rule of Shahjahan. IV. Amir Khusro was the inventor of the sitar. V. Hamida Banu Begum wrote Humayunnama.
Q000202,History of India,Gupta Empire,Gold Currency,Who among the following first introduced gold currency on a large scale?
Q000203,History of India,Scientific Contributions,Earth's Rotation,Who among the following first explained that sunrise and sunset occur every day due to the Earth's rotation on its axis?
Q000208,History of India,Arthashastra,Kautilya,On which subject is Kautilya's book Arthashastra based?
Q000213,History of India,Chola Dynasty,Chola Period,What was the Chola period famous for?
Q000216,History of India,Harappan Civilization,Terracotta Plough,Terracotta plough was found from which of the following Harappan sites?
Q000223,History of India,Nalanda University,Kumarajiva,Who was the founder of Nalanda University?
Q000224,History of India,Greek Influence in India,Megasthenes,Who was the author of 'Indica'?
Q000227,History of India,Gupta Empire,Rudradaman I,What is the name of Kalhan's book?
Q000228,History of India,Kalhana,Rajatarangini,In which inscription various achievements of Rudradaman I are described?
Q000253,History of India,Buddhist Sects,Theravada,Borobudur is the most amazing stupa in the world and its statues and sculptures are a brilliant example of what?
Q000255,History of India,Ancient India,Torman,Hun king Torman was defeated by which Aulikar king?
Q000257,History of India,Religious Practices,Widow-Burning,Which of the following inscriptions mentions the instance of widow-burning?
Q000260,History of India,Nalanda University,Learning Center,Nalanda University was a great center of Learning especially in-
Q000262,History of India,Buddhist Philosophy,Buddha's Teachers,"Who were the first teachers of the Buddha, after his great renunciation?"
Q000264,History of India,Buddhist Sects,Kaivalya Gyan,The place where Mahavira attained complete spiritual knowledge (Kaivalya Gyan)-
Q000275,History of India,Miscellaneous,None,
Q000278,History of India,Ashpradhan system,Official,Match the following in context of Ashpradhan system of Maratha rulers: Official Choose the correct option
Q000280,History of India,Mughal Ports,Babul Makka,Which of the following ports was called Babul Makka (Gateway to Makka) during the Mugha period?
Q000281,History of India,Mughal Period,Nowruz,Who among the following introduced the Persian festival Nowruz in India?
Q000282,History of India,Mughal Rulers,Futuhat-i-Alamgiri,Futuhat-i-Alamgiri was written by?
Q000284,History of India,Vijayanagara Empire,Nagalapuram,"Who among the following famous rulers founded a suburban township of Nagalapuram, near Vijayanagra, after his mother’s name?"
Q000292,History of India,Vijayanagara Empire,Founder of Vijayanagara Empire,Who was the founder of the Vijayanagara Empire?
Q000303,Art & Culture,Mughal Painting,Zenith,Mughal painting reached its zenith under
Q000308,Art & Culture,Bhakti Movement,Chishti Sect,Who established the Chishti Sect (Silsilah) in India?
Q000310,History of Bihar,Bhakti Movement,Bhakhtiyar Khilji Invasion,The earliest description of Bhakhtiyar Khilji invasion of Bihar is ir
Q000315,History of India,Sher Shah Suri,Sher Shah Suri - Akabar of Kashmir,Which Sultan was reputed to be ‘Akbar of Kashmir?
Q000316,History of India,Vijayanagara Empire,Remains of Vijayanagara Empire,Where are the remains of Vijayanagara Empire found?
Q000317,History of India,Ancient India,Use of Paper in India,Who was the first Muslim ruler to formulate the ‘theory of kinship’ similar to the ‘theory of divine right of the kings’?
Q000323,History of India,Bahmani Kingdom,Founder of Bahmani Kingdom,Who was the founder of Bahmani kingdom?
Q000347,History of Bihar,Chaulukyas of Gujarat,Ibn Batuta,Who was deputed for the conquest of Dyarasamudra by Ala-ud-din Khalii?
Q000351,History of India,Chittor,Raja Lakama,Who was the ruler of Chittor during Alauddin Khilji's invasion?
Q000352,History of India,Mughal Administration,Chief Kazi,"In the Mughal administration, 'Chief Kazi' was -"
Q000354,History of India,Khilji Dynasty,Alauddin Khilji,Who was the first ruler of Khilji dynasty?
Q000355,History of India,Santhal Rebellion,Soren Sen,The Tribal Movement-Santhal hool (Rebellion) took place in
Q000356,History of India,British Education System,Lord Macaulay,When did Macaulay issue his famous minute on Indian Education?
Q000357,History of India,Indian National Congress,Dadabhai Naoroji,In 1901 who has published the book ‘Poverty and Un-British Rule in India’?
Q000359,Indian Polity,Indian National Congress,C Rajagopalachari,Who became the President of Indian National Congress when Subhash Chandra Bose resigned in 1939 ?
Q000360,Indian Polity,Indian National Congress,Jawaharlal Nehru,Who was the first Muslim President of Indian National Congress ?
Q000361,History of Bihar,Revolt of 1857,Kunwar Singh,Match List -1 of leaders with List-of II their territory and select answer from the code given below: List-I List-II a. Kunwar Singh i. Faizabad b. Hazrat Mahal ii. Bareilly c. Khan Bahadur iii. Jagdishpur d. Maulvi Ahmadullah iv. Lucknow Code: Answer– (C) iii iv ii i 8. Who first described the Revolt of 1857 as the ‘First Indian War of Independence’ ?
Q000362,Geography,Forts,Fort William College at Calcutta,Fort William College at Calcutta was established in?
Q000363,Indian Economy,Viceroy's Decentralization,Economic Structure,Which Viceroy decentralized the colonial economic structure in India?
Q000364,History of India,Social Reformers,Gulam Giri,Who is the author of the famous book ‘Gulam Giri’?
Q000365,Indian Polity,Vernacular Press Act,Press Control,The Vernacular Press Act allowed?
Q000366,Indian Economy,Trade Unions,All India Trade Union Congress,All India Trade Union Congress formed in the year?
Q000367,History of India,Indian National Congress,Gaya Session 1922,Which newspaper wrote the following about the possible future role of the Indian Natinal Congress: ‘...is the nucleus of a future Parliament of country ... and will lead to the go of inconceivable magnitude for countrymen’ ?
Q000370,Indian Polity,Indian National Congress,President Gaya Session 1922,Who was the President of the Indian National Congress at the Gaya Session of 1922?
Q000371,Indian Economy,Social Reformers,Brahma Samaj,"Match List-I of social reformers with List-II of their societies and choose answer from the code given below: List- I List-II a. Brahma samaj Vishnu Shastri Pandit b. Ramkrishna Mission Swami Vivekananda c. Servants of Raja Rammohan Roy India Society d. Vidhwa Vivah Samaj Gopal Krishna Gokhale Code: Answer– (B) iii ii iv i 1. Brahmo Samaj- Founded by Raja Ram Mohan Roy in 1828 Against superstition, Sati system etc 2. Ramakrishna Mission—by Swami Vivekananda in 1897. For spiritual and social service 3. Servants of India Society—by Gopal Krishna Gokhale in 1905. For social service and education 4. Widow Marriage Society— Pandit Vishnu Shastri started a movement in support of widow remarriage. 19. Match the List - I of authors with List-II of the books on 1857 and choose answers from the code given below: List – I List-II a. V. D. Savarkar i. The First War of Independence b. S. N. Sen ii. The Peasant and the Raj c. Eric Stokes iii. Civil Rebellion in the Indian Mutiny d. S.B. Chaudhary iv. Eighteen Fifty-Seven Code: Answer– (C) i iv ii iii • V. D. Savarkar called the 1857 revolt as India's 'First War of Independence'. • He said that this rebellion was a well-planned freedom struggle fought for national independence. 20. Which of the following State was not annexed under Lord Dalhousie's Doctrine of Lapse?"
Q000372,History of India,Azad Hind Fauz (INA),Not associated with Azad Hind Fauz (INA),Who among the following is not associated with Azad Hind Fauz (INA)
Q000382,Indian Economy,Agriculture,"Muslim League - Direct Action Day (August 16, 1946) - Calcutta",Match the List - I with List - II and choose the correct answer: The correct matching is as follows- Organization • Swadeshi Sevak Home • United India House • Yugantar Ashram San • INA or Azad Hind Fauj Headquarters Vancouver Seattle Francisco Rangoon 32. When did Muslim League observed “Direct Action Day”?
Q000388,History of India,World War II,Allied Support,"In October 1943, Subhash Chandra Bose set up a provisional government of free India which was recognized by how many countries including Japan?"
Q000389,History of India,World War II,Axis Powers Support,"Japan 2. Germany (Nazi Germany) 3. Italy (Fascist regime) 4. Croatia 5. Thailand 6. Manchukuoka (Manchuria- puppet queen installed by Japan) 7. Azerbaijan (German backed regime) 8. Philippines (Japan backed regime) 9. Korea (Japanese rule) 41. Under the Royal Titles Act, Queen victoria became the empress of India in"
Q000390,History of Bihar,Social Movements,Wood's Dispatch,Consider the following statements regarding Wood’s Dispatch of 1854 : 1. It recommended English as the medium of instruction for higher studies. 2. It emphasized on female education and vocational training. Which of the statements given above is/are correct?
Q000391,History of India,British Administration,Lord Mayo,It recommended English as the medium of instruction for higher studies. 2. It laid emphasis on women's education and vocational training. 3. Suggested introducing local languages in primary schools in India. 43. Which of the following statement about the Vernacular Press Act is/are correct? 1. It was enacted by Lord Lytton 2. It came to be known as the ‘Gagging Act’. 3. The Act was repealed by Lord Ripon. Select the correct answer using the code given below.
Q000392,History of India,British Administration,Lord Mayo,Which of the following statements about Lord Mayo’s Resolution of 1870 are correct? 1. It was the first step that bifurcated Central and Provinical finances. 2. Provincial Governments were empowered to administer certain services. 3. It attempted to rectify the existing imparity 4. It focused on the actual needs of the Provinces Select the correct answer using the code given below.
Q000393,History of India,British Administration,Lord Mayo,"This was the first step to divide central and provincial finances. 2. Provincial governments were given the power to administer some services. 3. It attempted to rectify the existing inequality 4. It focused on the real needs of the provinces Lord Mayo (1869-72) • Mayo College (1872) was established in Ajmer by him. • During his tenure, Indian Statistical Survey and the Department of Agriculture and Commerce were established. • The first census of India took place in 1872 • On February 8, 1872, Sher Ali Afridi (an Afghan) stabbed him to death. 45. Match List-I with List-II :- List- I List- II (Explorers) (Birth Place) a. Christopher Columbus 1. Portugal b. Jacques Cartier 2. United Kingdom c. Sir Francis Drake 3. Italy d. Ferdinand Magellan 4. France Select the correct answer using the code given below. Answer – (D) a b c d 3 4 2 1 List-1 (Explorers) List-II (Place of Birth) • Christopher Columbus - Italy • Jacques Cartier France • Sir Francis Drake United Kingdom • Ferdinand Magellan - Portugal 46. Consider the following events during India’s Freedom Struggle : 1. Home rule movement 2. Surat Split 3. Kheda Satyagraha 4. Minto-Morley Reforms Which of the following is the correct chronological order of the events given above?"
Q000394,History of India,Social Movements,Home Rule Movement,Lord Lytton is not associated with which of the following?
Q000386,Indian Polity,Bihar Polity & Governance,Bihar Legislature,During the Quit India Movement parallel ‘NationalGovernment’ was established at many places. Which of the following is not correctly matched?
Q000398,History of India,Indian National Congress,"List-I and List-II matching – Gopal Krishna Gokhle, Ram Mohan Roy, Keshab Chandra Sen","Match List-I with List-II: List- I List- II a. Servants of India Society 1. Debendranath Tagore 2. Gopal Krishna Gokhle b. Tattwabodhini Sabha 3. Ram Mohan Roy 4. Keshab Chandra Sen c. Atmiya Sabha Select the correct answer using the code given below. Answer – (D) a b c 2 1 3 List- I List- II 52. Ambabai, a woman freedom fighter, belonged to wich of the following States of India? (A Andhra Pradesh Answer – (B) Karnataka Freedom fighter Ambabai was a native of Karnataka. She was 12 when she got married and she lost her husband when she was 16. • Despite these adverse circumstances, she joined the fight for Indian independence. • During the movement they protested against liquor and foreign clothes shops in Udupi. 53. Who among the following was not the member of the Cabinet Mission?"
Q000400,History of India,Indian National Congress,1906 Calcutta Session – Fundamental Rights resolutions,"In which of the following Indian National Congress sessions, the resolutions related to the Fundamental Rights were passed for the first time?"
Q000402,History of India,Swadeshi and Boycott,First adoption during the 1906 Calcutta Session,The Swadeshi and Boycott were adopted as the methods of struggle for the first time during the
Q000403,History of India,Indian National Congress,Bal Gangadhar Tilak unfurled the Flag of Swaraj,"At the Calcutta Session of the Indian National Congress (INC) held in 1906, the Flag of Swaraj for India was unfurled by"
Q000404,History of India,Parallel Movements,"Princely States – Kashmir, Nizam’s Hyderabad, Travancore","During the freedom struggle, a parallel movement launched in the Indian State (in the States ruled by the India rulers such as Kashmir, Nizam’s Hyderabad, Travancore, etc.) was"
Q000405,History of India,Freedom Struggle,Incorrect statement – Only upper castes took part,Which of the following statements about the Indian freedom struggle is not true?
Q000406,History of India,Indian National Congress,The Review – Abul Kalam Azad’s journal,Which one of the following was a journal brought out by Abul Kalam Azad?
Q000407,History of India,History and Nationalism,Study of history created a sense of shared identity and heritage,How did the study of history help in creating a feeling of nationalism in India towards the end of the 19th century?
Q000408,History of Bihar,Non-Cooperation Movement,Participation of only upper castes and rich in towns,"Which of the following statements are not correct regarding the Non-Cooperation movement in the towns? 1. Only the upper castes and the rich took part in the movement 2. The council elections were boycotted even by the Justice Party of Madras. 3. Thousands of students left government- controlled schools, headmasters and teachers resingned and lawyers gave up their practice."
Q000409,History of Bihar,Bihar Current Affairs,Vinoba Bhave,"""A Sanyasi who came to that district after a spell as an indentured labourer in Fiji. Carrying a copy of Tulsidas Ramayana on his back from which he would recite verses to rural audience.: The peasant leader referred to here is"
Q000415,History of India,Bharti Movement,Vinoba Bhave started individual Satyagraha,"In 1940, Vinoba Bhave started individual Satyagraha from"
Q000417,Indian Polity,Constitutional Development,Cabinet Mission's objectives,The Cabinet Mission was sent to India for which of the following? 1. To established a national government 2. To work out a constitutional arrangement for the transfer of power 3. To work out the details of Jinnah’s demand for Pakistan
Q000418,History of Bihar,Social Reforms,William Bentinck's social reforms,Which of the following were the social reforms introduced by William Bentinck? 1. Abolition of sati practice 2. Abolition of slavery 3. Removal of disabilities due to change f religion 4. Suppression of organized gangs of Thugs Select the correct answer from the code given below:
Q000419,History of Bihar,Annexation of Sindh,Sind was conquered and annexed by the British,Sind was conquered and annexed by
Q000424,History of India,Mahatma Gandhi,"Sukhdev, Bhagat Singh and Rajguru",Who is known as ‘Frontier Gandhi’?
Q000426,History of India,Bhagat Singh,Person who said about Bengal Partition,"Who has said about Bengal Partition, “The Partition announcement fell like a bomb shell""?"
Q000430,Current Affairs,Indian National Movement,Gandhi-Irwin Pact year,In which year the famous 'Gandhi-Irwin Pact took place?
Q000438,History of India,Indian National Congress,Annie Besant,The first women President of the Indian National Congress was
Q000439,History of India,Indian National Congress,Jayaprakash Narayan,Who started the journal 'Bahishkrit Bharat'?
Q000440,History of India,Indian National Congress,Lahore Session 1929,Which of the following events happened first?
Q000442,History of Bihar,Indian National Congress,Sukhbai Mehta,"One of the leaders of the Revolt of 1857 AD, Kunwar Singh was related to which place?"
Q000443,History of Bihar,Revolt of 1857,Kunwar Singh,"During Quit India Movement, who among the following escaped from the Hazaribagh Jail?"
Q000444,History of India,Quit India Movement,Jayaprakash Narayan,Who was the President of Gaya Session of the Indian National Congress held in 1922 AD?
Q000475,History of Bihar,Munda Revolt,Baidar Naik,Who was the leader of Munda Revolt?
Q000476,History of India,Social Movements,Munda Revolt,Who established the 'Arya Samaj'?
Q000477,Art & Culture,Bhakti Movement,RSS,Who was to receive first 'Bharat Ratna'?
Q000478,Indian Polity,Indian National Congress,Bharat Ratna Recipients,Who was the second Muslim President of the Indian National Congress?
Q000479,History of India,Indian National Congress,University Commission (1902) Members,"In 1902, Lord Curzon appointed the University Commission including two Indian members. Who were they?"
Q000485,History of India,Quit India Movement,All India Azad Dasta at Bakri ka Tapu,All India Azad Dasta at Bakri ka Tapu was organized during the Quit India Movement by
Q000497,History of India,Social Reform,Servants of India Society,Who established the 'Servants of India Society'?
Q000498,History of India,Revolutionaries,Kakori Train Robbery Case,Which revolutionaries were hanged in the ‘Kakori Train Robbery Case’?
Q000500,History of India,Social Reform,Satyashodhak Samaj,Who founded 'Satyashodhak Samaj'?
Q000501,History of India,Social Reform,Annie Besant,Who was the first woman president of the Indian National Congress?
Q000503,History of India,Social Reform,Suppression of Thugs,The Viceroy who followed aggressive policy towards Afghanistan was
Q000506,History of India,Indian National Congress,Presidents of Indian National Congress,Who was the President of the Indian National Congress at the time of the partition of India?
Q000509,Geography,Ports,Portuguese Factories in India,Where was the first Portuguese factory established in India?
Q000510,Agriculture,Ryotwari System,Thomas Munro,Who started the Ryotwari system in Madras?
Q000512,History of India,Indian National Congress,First Indian Woman President,In which year did an Indian woman become the President of the Indian National Congress for the first time?
Q000513,Bihar Polity & Governance,Instrument of Accession,Kashmir's Accession,Which of the following statements are correct? I. Laik Ali was the President of the Nizam's Executive Council II. 'Operation Polo' against Hyderabad lasted for 48 hours. III. The State of Kashmir signed the Instrument of Accession on 15-08-1947 IV. Shah Nawaz Bhutto was the last Diwan of Junagadh State. V. K. M. Munshi was appointed by the Government of India as its agent in Hyderabad Code
Q000515,History of India,Indian National Congress,Establishment of Indian Association,Who established the Indian Association?
Q000516,History of India,Muslim League,Acceptance of Self-Rule,When did the Muslim League accept the objective of self-rule within the empire?
Q000519,General Mental Ability & CSAT,Development,Farmer leader Motilal Tejawat,Who was/were the persons related to the 'Zimmerman Plan'?
Q000524,History of India,Bharti Movement,Who began the 'Faraizi Movement'?,Who began the 'Faraizi Movement'?
Q000525,History of India,Social Issues,Who wrote the book ‘Poverty and Un-British Rule in India’?,Who wrote the book ‘Poverty and Un-British Rule in India’?
Q000533,History of India,Bengal School of Nationalists,Kesari,"Identify the correct combination from the options given below for Prarthana Samaj, Young India, Lokhitwadi, Satyashodhak Samaj, Rahnumai Mazdayasan Sabha :"
Q000534,Art & Culture,Social Reform Movements,Prarthana Samaj,"From the options given below, find the correct combination of the names of Editors of the nationalist newspapers The Hindu, Kesari, Bengalee, Hindustani, Sudharak :"
Q000536,History of India,Revolutionary Movement,Bhagat Singh's Bomb Throwing,How old was Bhagat Singh when he threw a bomb in the assembly in protest against the government?
Q000538,Geography,Tribal Movements,Munda Rebellion,At which territory did tribals rebel against the British?
Q000539,Indian Polity,British Colonial Policies,White Man’s Burden,"“So always with the assent and often to the dictates of the Chamber of commerce, the Government of India is carried on, and this is the ‘White Man’s Burden’.” Who said this?"
Q000541,History of India,Social Issues,Bhangi Mulakal,"Gandhiji's Non-Cooperation Movement, urged people to avoid alcohol. This resulted in a serious loss of revenue for the government. The government of a province circulated a list of prominent individuals who drank alcohol as a device to persuade people to start drinking again. Name the province."
Q000545,History of Bihar,Moplah Rebellion,1921,The Moplah Rebellion of 1921 broke out in
Q000546,History of India,Swadeshi Movement,1905-1911,The Swadeshi Movement took place in India during
Q000552,History of India,Indian National Congress,Round Table Conferences (1930),The Indian National Congress did not take part in which of the following Round Table Conferences?
Q000555,History of India,Mahatma Gandhi,Pamphlet 'Now or Never',Who wrote the pamphlet 'Now or Never'?
Q000556,History of India,Social Reform,Declaration of 'Sati' illegal,Who declared 'Sati' illegal?
Q000560,History of Bihar,Revolt of 1857,Leaders of the revolt in Bihar,Who was the leader of the revolutionaries in Bihar during the revole of 1857?
Q000561,History of Bihar,All India Kisan Sabha,First President of All India Kisan Sabha,Who was elected the first president of All India Kisan Sabha in Lucknow in 1936?
Q000562,History of India,Social Reform,Montague-Chelmsford Act,"'In my belief, Congress is to tottering to its fall and one of my great ambitions while in India is to assist it to a peaceful demise.” Who wrote it?"
